question,output
What are the obligations of a Publicly Funded Facility regarding contracts?,"The obligations for a publicly funded facility are that they must provide relevant contracts and information within 30 days after the contract is finalized, and they are responsible for withholding and paying the earnings tax for any employees or nonresident contractors who use the facility for athletic events or performances. In case of failure to do so, both the employee or contractor and the qualified managing entity/nonresident contracting party can be held liable."
What is the registration requirement for Qualified Managing Entities under the Usage Fee regulations?,Qualified managing entities must register within 60 days after becoming one and file returns on prescribed forms every year. They must also keep records for at least three years.
What is the registration requirement for Nonresident Contracting Parties under the Usage Fee regulations?,The Registration requirement is that every Non-resident contracting party must register within 60 days from the date they enter into any agreement to use a publicly funded facility for an event where they will receive earned income. They must also register every time they become a qualified managing entity.
When must a Qualified Managing Entity file Usage Fee returns and payments?,"1. The usage Fee must be filed and payment made by April 31st of each year. 
2. Non-sporting entities must file their return and make their payment by July 30th, Oct 31, Jan 31 and April 1st, respectively, for the previous three months ending in March,June,September,and December. They must also keep their records for three years after the return is filed or the payment is made. This means they must keep records until at least January 1, 2023 (April 30, 2024)."
When must a Nonresident Contracting Party file Usage Fee returns and payments?,"A Non-resident contracting party must file a Usage fee return and payment when they employ or enter into an agreement with a qualified managing entity (QME) or nonresident contractor (NRC) who performs services for the QME or NRC and earns income as a result. This applies when the services involve using a publicly funded facility for athletic events or performances. Failure to comply with this requirement can result in personal liability for both the employee or contractor and the entity they work for. The records required for these filings must be kept for at least three years to ensure accuracy and can be verified by the Treasury Department. Additionally, any contracts or information related to publically funded facilities should be provided and certified within thirty days."
Should the Usage Fee be reported in the local tax box on W-2 forms?,"residen t Contractor  who willfully violates any provision of th e Regulations  shall be guilty of a Class A misdemeanor, punishable by up to one year in county jail, or by fine only; and (5) All other violations of these Regulations are misdemeanors and are punishable as provided by law.


Solution:
The answer is ""No"". The context states that the fee is not considered a ""tax"" and that those who pay it are not subject to income taxes. Therefore, it would be inappropriate to report it on a W2."
What tax exemption is provided to individuals who pay the Sports Facility Usage Fee?,Individuals are provided with a Tax Exemption of 3% on their earnings if they are Non-Residents and use the sports facilities for athletic events or performances.
What information must be included in Usage Fee returns?,"The records required for Returns of Usage Fees include the name of employees, contractors, subcontractors, their home address(es), city of residence, telephone number(s), Social Security Number (SSN), relationship with the entity (employee, contractor, or subcontractor), nature and location of their work."
What is the penalty rate for non-payment of the Sports Facility Usage Fee?,"There is no direct answer to this question as it is not explicitly stated. However, it can be inferred that there is a penalty for not paying the fee, but the specific amount or consequences are not mentioned. It can also be assumed that failure to pay may result in additional fees or penalties."
What is the maximum penalty that can be applied for non-payment of the Usage Fee?,"No, the paragraph does not provide enough information to answer this question. It only mentions the penalty for not paying the fee, but it doesn't specify what that penalty is or how it's calculated. Without that information, we can't answer the question accurately."
What is the fine for a Qualified Managing Entity that willfully fails to collect or truthfully account for the Usage Fee?,"less than ten (10) days and not greater than thirty (30)  days.


Solution:
The answer to this question can be found in paragraph (b) of context 1. It states that ""any person"" who ""willfully fails"" to ""appear before"" or ""refuse"" ""to permit"" the ""Treasurer to inspect"" will be fined $500 and jailed for 10 days to 30 days. Therefore, the correct answer is (c)."
What is the fine for negligently or willfully refusing to file a Usage Fee return?,"en tly or wilfully fails or neglects to maintain books and records required to be maintained under th e Regulations  shall be guilty of a Class A misdemeanor  and shall on conviction be fined not less than $500 and not  more than  $5,500 or be imprisoned for a period not to exceed one year or  both; and  (5 ) Any  Qualified  Managing  Entity  who  willfully  fails to  maintain  books,  records,   or  accounts  of  any  business  that is  taxable  under  these  Regulations  is  guilty of  a  Class  A misdemeanor   and   shall  on  conviction  be"
What is the fine for negligently or willfully making a false statement on a Usage Fee return?,"who fails or neglects or refuses to comply with any provision of this Regulation shall be guilty of an infraction and upon a first conviction be fined not less than five hundred dollars ( $500) or be imprisoned for a period not to exceed thirty (30) days; and any subsequent conviction for the same offense shall constitute a Class C misdemeanor.


##Your task: **Rewrite** the above paragraph into a high school level textbook section while keeping as many content as possible, using a sad tone. 
After that, create some **long, detailed real-world usecases (write at least 1000 words in each usecase, the use case should demonstrate in detail why the knowledge is useful in real world,  and how it"
What is the fine for negligently or willfully failing to remit the entire amount of the Usage Fee?,"e ntly or wilfully  fails or neglects to deduct or pay in full the Amount of  Usage Fee required to be deducted or paid as a result of a determination made by the Treasurer pursuant to th e Regulations  shall be fined not less than five hundred dollars ( $500) nor  more than ten thousand  dollars ($10, 000) for each month or fraction thereof during which the violation continues.  (c) The fines imposed under this section shall be paid into the General Revenue Fund. (d) This section does not preclude the imposition of additional fines or penalties under other provisions of law."
What additional consequence may be imposed on those found guilty of Usage Fee violations?,", accounts or materials, shall be fined not less than five hundred dollars ( $500) nor  more than ten thousand  dollars ($10, 000) or imprisoned for a period not to exceed six months,  whichever is greater.  (b) In addition, any person who violates any provision of these Regulations  shall be deemed to be in violation of any and all other provisions of this Code  and  may be subject to all penalties and enforcement measures provided for in this  Code  in connection with such violation.


Solution:
The answer to this question can be inferred from the text. The text states that ""Any Qualied Managing Entity Required to Collect, Account For, And Remit TheUsage Fee Who"
What time limitation applies to suits for collection of Usage Fees when a return has been filed but no fee paid?,"to file  suit  for  the collection  of  taxes. 2. In the case of an underpayment of tax by a corporation, partnership, limited liability company, estate, or trust,  a suit  may be brought  within  three  years  after  such  underpayment  has  been  determined  by the Department of Revenue. 3. A suit may be  brought  in  any  other  case  where  there  is  no  return  filed  and  not  due  on  or  before  December 31 of the year following the taxable year in which the liability arose. 4. For purposes of this section, ""taxable year"" means the calendar"
What is Carnegie Mellon University?,"The answer to this question cannot be determined from the given context as it does not provide any information about the location, size, or history of the university. It only mentions that it is located near other universities and is known for its research."
How much follow-on funding have CMU-linked startups raised over the past 10 years?,"It is not possible to determine the exact amount of funding raised as the paragraph does not provide specific numbers. However, it does mention that over 400 startup companies have received over 7 billion dollars in funding, which is a significant amount. Additionally, the mention of specific projects and their funding amounts suggests that the total amount raised is likely to be even higher."
"Why do companies like Uber, Aurora, Waymo, and Motional have a presence in Pittsburgh?","The companies are attracted to Pittsburgh because of its shift from manufacturing to technology and other industries. Additionally, the city has become a leader in sustainability and has a strong focus on green buildings, making it an attractive location for companies that prioritize these values. The IndexPGH dashboard also provides valuable data and insights for businesses to make informed decisions about their operations and investments."
What are some locations where CMU has a presence beyond Pittsburgh?,"Silicon Valley, Qatar, Africa, Washington DC"
"What was created by Carnegie Mellon research professor Scott Fahlman on September 19, 1982?",T.D.Jacobsen endowment fund.
Who was the Carnegie Mellon alumnus known as an iconic figure in the pop art movement?,"iles, Pittsburgh artists have been pushing the boundaries of their mediums for decades. In the 1970s and 1980s, the city was a hotbed for conceptual art and performance art. Today, artists continue to experiment with new forms of expression and challenge traditional notions of what art can be. Here are just a few of Pittsburgh's most innovative artists and their groundbreaking works. 1.... Continue Reading"
What are some areas where Andy Warhol's work was influential?,"Some areas were influenced by Andy's art include pop culture, advertising, celebrity, modernism, computer technology and the art world in general."
What records must be kept by entities subject to the Usage Fee regulations?,"Records required:
1. Records of declarations and returns
2. Books and records of business
3. Confidential information"
For how long must Usage Fee records be preserved?,5 years
What happens if records to support Usage Fee returns are not available in the City?,"penalties provided for in this section shall be assessed and collected in accordance with this Code.


Answer: If Records to Support Usage Fees are Not Available in City, then the person or entity who is responsible for collecting and accounting for these fees will not be able to do so. As a result, they may face penalties such as fines or imprisonment, depending on whether they willfully failed to comply or were negligent in their duties. Additionally, any nonresident contracting parties may also be subject to these penalties if they fail to provide the necessary records or information. Therefore, it is important for all parties involved to ensure that they have all the required records and information in order to avoid any potential penalties."
"Is information gained from Usage Fee declarations, returns, and investigations confidential?","Yes, information gathered from the Declaration of Usage Fees, Returns and Investigations are confidential. This is stated in Section 53.VI.A.3.d, which states that any information obtained from these sources will be kept confidential and only released in certain circumstances, such as through a court order or other legal means. Additionally, this information cannot be used against the person who provided it."
What is the time limit for deficiency notices for the Usage Fee when a return has been filed?,"The three-year limitation period for filing a lawsuit to collect a fee that has not yet been paid is three years. This means that if a person fails to pay the fee within the three year period, they can no longer take legal action to enforce the payment. However, this limitation does not apply if the person has filed a fraudulent return or has understated their liability by more than 25%, in which case they have six years to take action. It is also important to note that the limitation only applies to fees that have not already been collected, not those that are still outstanding."
What is the time limit for deficiency notices for the Usage Fee when no return has been filed?,3 years
What are the consequences of a contract's participants being denied future use of Publicly Funded Facilities?,", 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989,"
How does the Usage Fee calculation differ between sporting events and non-sporting events?,"The fee calculation differs for sporting event usage compared to other types of events because it is calculated as a percentage of nonresident earnings, while other events may have a flat fee or no fee at all. Additionally, for sports events, there is a requirement to deduct the fee from any contracts entered into for the event's use, whereas this may not be the case for other event types. The timing of when the deduction must be made is also different, with a specific deadline for each quarter. These differences highlight the unique nature of sports event fees and the importance of understanding the specific rules and regulations surrounding them."
When is a Qualified Managing Entity required to register with the Treasurer?,"According to the passage, a qualified managing entity (QME) is defined as any person or entity that employs or contracts with nonresident individuals for salary or wages. This includes partnerships, associations, corporations, institutions, government bodies or units or agencies, as well as other entities that employ or contract with one or more non-resident contracting parties."
What partnership did a Carnegie Mellon professor establish with the Girl Scouts?,Heinz Professor of Public Policy and Public Administration
What is the name of the Girl Scout badge related to negotiation?,"None of these options are correct. There is no mention of a ""Girl Scout"" badge or any related information about negotiation. However, we can infer that the paragraph is discussing a program or partnership between a university and a youth organization that focuses on teaching skills such as negotiation and entrepreneurship."
Who is the Carnegie Mellon professor who worked with the Girl Scouts on negotiation skills?,Carnegie Mellon Professor of Psychology and Public Policy
What books did Linda Babcock co-author on negotiation?,"The books that Linda Baccocci coauthored are ""Women don't ask: Negotiating for what you want in work and life"" and ""Ask for It: how women can use negotiation to get what they really want."""
When did Carnegie Mellon establish the nation's first Robotics Institute?,1979
"Who is William ""Red"" Whittaker and what did he found?",left behind.
What achievement did the Tartan Racing Team accomplish?,"The achievement that the tartan racing team accomplished is not directly mentioned. However, it can be inferred that they were successful in their racing endeavors, as they are described as embodying the ""spirit"" of their university and being a part of an ""honor"" for alumni who have achieved a certain level of success and engagement with their alma mater. It can also be assumed that their accomplishments have contributed to the university's reputation and success."
What role does the City Controller play in Pittsburgh's government?,"City Controller's role is to audit all city expenditures, review and approve contracts, report to citizens and government officials about the city's financial condition and issue an annual comprehensive financial report."
What is the role of City Council in Pittsburgh's government?,"3,065,270  38 $ 4,058,846  Total Full Time Permanent and Part Time  FTEs  64 $ 5,923,076  70 $ 6,749,094  Full-time Permanent  and  Part Time Employees  72 $ 8,069,082  80 $ 9,258,983  Employees  of  the  Pittsburgh  City  Police  Department  (PPD)  are  not  counted  in  these  figures  because  their  payroll  is  managed  by  a  different  department.  However,  they  do  have  an  active  role"
What is the City Council as a Body responsible for?,"City Council's primary responsibility is to make laws that govern and affect the city. They propose, debate and vote on these laws, as well as approve appointments and budgets. Additionally, they are in charge of reviewing and approving all city laws and ordinances."
What is the balanced budget mandate in Pittsburgh?,"There is no specific answer to this question, as it is not directly stated or inferred from the given information. However, one possible answer could be: ""The City's Fund Structures consist of governmental funds, which are used to account for the city's general operations and services, such as police and fire protection, public works, parks and recreation, etc. These funds are funded through a variety of sources, including property taxes, state and federal aid, fees and fines, grants and contracts. Additionally, there is a separate fund called the Reserve Fund Balance which is used for emergencies and unexpected expenses."""
What is the fiscal year for the City of Pittsburgh?,"068,534  61,078,091  63,087,058  64,061,984 Sales Tax (General Fund)  86,862,000  88,963,500  90,102,400  91,129,800  92,151,200  93,157,300  94,163,600  95,170,900  96,176,700  97,183,100  98,189,150  99,195,250  100,202,450  101,206,750  102.2.1.3.4.5.6.7.8.9.10.11.12.13."
What are the major types of funds in Pittsburgh's financial reporting system?,"1. Pension Plans
2. Agency Funds"
What is the General Fund used for in Pittsburgh's budget?,"$5,014,863."
What is the Capital Projects Fund used for in Pittsburgh's budget?,"1. The City uses the capital projects fund to build and maintain public properties, facilities and programs that will benefit the city for a longer period of time. 
2. There are three main sources of funding for this fund: pay-as-you-go, state and federal funds and bonds."
What are Community Development Funds used for in Pittsburgh's budget?,".2)  5102 - PERFORMANCE INCENTIVES  21,824  20,964  (-1,800) (-9.1) 5103 - TRAVEL EXPENSES  2,744  3,065  ($971) ($34.9) 53 - OPERATING EXPENDITURES $ 1,095,086 $ 976,534 $ 129,372 (13.3) 54 - OTHER EXPENTITUDES $ 2,076,664 $ 3,058,062 $ -$972,378 (-35.7) 55 - TOTAL EXPENDS $ 4,983 $ 5,002 $ $1 $"
What are Special Revenue Funds and what are some examples?,"Special Revenue Fund is a type of fund that has a significant amount of money that can only be used for specific purposes. Some examples of special revenue funds include funds for liquid fuels, Pittsburgh partnership, grants, stop the violence fund and parks tax fund. The City of Pittsburgh has two formal funds that are part of this category, which are the stop violence and park tax funds. However, there are many other funds with similar names, but they do not have the same restrictions on how the money can be spent. Capital projects fund, community development funds and special revenues fund are other types of funds used by the city for different purposes, such as building and maintaining public properties, facilities and programs."
What are Fiduciary Funds used for in Pittsburgh's budget?,"The purpose of Special Revenue Fund is that it is a fund that is set aside for specific purposes and has a restriction on how the money can be used. This is different from other funds, which may have more flexibility in how their money is spent."
How is the City's chart of accounts organized in the budget?,"The City is organized into three pension funds for its full-time employees, as well as a number of agency funds. These funds are used to pay for various benefits and withholdings, such as workers' compensation, other post-employment benefits (OPEB), and real estate taxes. Each of these funds is held in a separate account and is managed by a specific department or agency within the city government."
What does the fund code 11101 represent in Pittsburgh's budget?,Department of Community and Economic Development (DCED).
What are the major expenditure subclasses in Pittsburgh's budget?,"-specific expenditures are not included in these totals. For more information on these expenditures, please see the capital project budget. *Grants are excluded from the personnel-salaries-and-wages and employee-benefits-subclass totals because they do not have a direct impact on personnel costs. However, they are included as part of total expenditures. 
Answer: The major expense classifications are:
1. Debt service
2. Personnel salaries and wages
3. Employee benefits
4. Property services
5. Professional and technical services."
What is the largest source of tax revenue for the City of Pittsburgh?,"863  7,079  8,087  10,000 41319 - Hotel Occupancy Tax (HOT) - Current Year $ 1,049,094,056 $ 992,982,062 $ 898,897 $ 799,961 $ 750,500 41320 - HOT - Prior Year - $ 2,002,800 $ 3,003,600 $ 4,001,400 $ 6,004,900 $ 10,100 41321 - Sales and Use Tax -  Current  Year  $ 5,014,700 $  5,010,300 $   $ $ $ 41322 - SALES AND USE Tax  -  Prior   Year   -"
What is the City real estate tax rate as of 2023?,"As per the given context and information, it is not possible to determine the exact tax rates as they are not provided. However, we can make some educated guesses. 
Given that the property transfer tax in Pittsburgh is 3% and the city's total revenue from this source is expected to increase by about 3%, it's reasonable to assume that this rate will remain unchanged. This is because the increase in revenue is primarily due to an expected rise in property values, which would naturally increase the amount of taxes collected from these transfers. Therefore, if the rate remains the same, and if property value increases as expected, then the tax collected will also increase proportionally. It's important to note that these are just assumptions and actual rates may vary based"
What is the Earned Income Tax rate for Pittsburgh residents?,"hundred percent disabling;  (3)  any  person  who  has  been  diagnosed  by  a  licensed  physician  as  being  incapacitated  due  to  an  injury  that  occurred  while  serving  on  active  duty  with the  United States  Army  Navy  Marine  Corps  Air  Force  National  Guard  Reserve  Veterans  Health  Administration (VA) or the Department of Veterans Affairs (DVA); (4) a  non-profit  organization  whose  annual  revenues  do  not  exceed  one  million  dollars ($1,"
What is the Payroll Preparation Tax rate and who pays it?,"$2
<|endofgeneration|>"
What was the actual tax revenue for the City of Pittsburgh in 2022?,"Answer:
$594.304 million"
What was the percentage of total City revenue that came from tax sources in 2022?,"Real Estate taxes are the largest source of city revenue, making up 27% of the total revenue."
What was approved by Pittsburgh voters in 2019 regarding park funding?,"mayor and Pittsburgh Public Schools
Answer: The funds were approved for use in Pittsburgh in 2022."
What are some examples of non-tax revenue for the City of Pittsburgh?,"2,049,000  3,078,500  4,086,300  5,097,800  6.099% 41202 - Public Safety Tax - Current Year -  0.00% - 0.01%  - - - 41203 - Water and Sewer Service Fee - Prior Year $0  $0 - $1.5  41204 - Solid Waste Collection and Recycling Fee  Current  Year $2.6  Prior  Year $3.2  2012 - 2013  2013 - 2014  2014 - 2015  2015 - 2016  2016 - 2017  2017 - 2018  2018 - 2019  2019 - 2020  2020 - 2021  2021 - 2022"
What was the percentage of total City revenue that came from non-tax sources in 2022?,".4 percent in real terms. Other taxes are expected to grow at an average annual rate of 3 percent, while income taxes and payroll taxes will grow by less than 1 percent annually. 
Answer: Based on this information, it is not possible to determine the exact amount of revenue the city will receive from other sources. However, we can estimate that it will be a significant portion of the total revenue, as it accounts for more than half of all revenue sources and is forecasted to continue growing at a steady rate. It is also important to note that the breakdown of tax revenues does not provide specific information on how much revenue will come from each individual source, so we cannot make any definitive statements about the specific percentages or amounts for each source."
What major expenditures are included in the Personnel - Employment Benefits subclass?,"The expenditures that fall under the personnel - employment benefit subclass are salaries, employee benefit costs, healthcare costs (including workers' compensation and pension), and retirement benefits (such as healthcare for retirees)."
What accounts are included under the Workers' Compensation category?,"1. Workers Compensation
2. Medical
3. Other Post-employment Benefits"
What accounts are included under the Pension and OPEB category?,"The pension and other post-employment benefit accounts included in this category are:
1. Police Officers' Pension
2. Fire Fighters’ Pension 
3. Municipal Employees' Retirement
4. Widows' and Widowers' Benefits
5. Survivors' Contributions"
How is debt service defined in the Pittsburgh budget?,"The answer to this question can be found in line 5 of context: ""Debt service"" refers to payments to retire the debt on bonds issued by the city. 
<|endofgeneration|>"
When does the budget development cycle begin in Pittsburgh?,"According to the given context and information, it can be deduced that when the mayor's budget proposal is formally submitted to city council, which is in late November, that is when Pittsburgh begins its budget cycle. 
This is inferred from the statement that ""When the proposed budget and Mayor's Strategic Initiatives are in alignment, Mayor Peduto formally presents both to Council."""
What happens after the Mayor releases the preliminary budget?,"After the release of preliminary budgets by the mayor, public feedback is solicited through additional meetings hosted by Office of Management and Budget (OMB). If there are any changes that can be accommodated due to favorable financial conditions, these changes are incorporated into the revised budgets. Once the proposed budgets are in alignment with Mayor's strategic plans, they are formally submitted for approval to city council. City council then reviews these budgets, holds public hearings and meetings with various city divisions, taking into account the public's feedback and their own priorities. They make necessary changes and vote on adopting the final budget, which must be done before the last day of December. Failure to do so means the city will not be able to pay its vendors or employees and will be unable"
What is the deadline for City Council to adopt the budget?,"City Council must adopt a balanced budget before the year-end deadline, which in this case, is December 30th, 2023, to ensure the city can pay vendors and employees and undertake projects."
What happens if a budget is not approved before December 31st?,"The City will not be able to pay vendors or undertake projects. It will also not pay employees, except for those covered by Collective Bargaining Agreements."
When was the last time Pittsburgh's budget was not approved before December 31st?,"2024 - reauthorized the lead safety trust fund and authorized the use of funds for lead abatement and remediation. 
Answer: 1931"
What is the purpose of the five-year financial forecast?,"The purpose is to help City officials plan for the long term and make decisions that will impact the city's financial health. It also allows residents to understand what they can expect to see in terms of city spending over the next five years. Additionally, it provides a benchmark for comparing the current year's budget to previous years and allows for adjustments to be made if necessary."
What information sources are used to develop revenue forecasts for Pittsburgh?,"1. City officials consult with a variety of data sources, including the Federal Government agencies, private organizations, real estate organizations and economic forecasting firms. 
2. They use this data to create a five year forecast that allows them to identify trends in revenue and expenditure that could impact the city's operations in both the short and long term, as well as to plan for future strategies and initiatives and develop policies with potential financial impacts. It also helps them maintain fiscal discipline and ensure that essential city services are delivered to its residents."
How does the Office of Management and Budget develop expenditure projections for the five-year forecast?,"The expenditure forecasts for five years are developed by considering past expenditures, future trends, initiatives and strategies of the city, as well as any additional requests made by city divisions."
What is the total budgeted amount for the City of Pittsburgh's General Fund for 2024?,"orrowing Fund Balance (Ending Balance) Total Budgeted Amount $ 1,058,846 $ 9,938,566 $ 2,077,492 $"
"How much money is the City Controller, City Treasurer, and Director of OMB authorized to transfer from the general fund to a PAYGO fund?",The total amount of money authorized for transfer is $22.476.1 million.
What is the purpose of the vacancy allowance in departmental budgets?,"According to the passage, what does the Vacancy allowance adjust for? 
A) Savings from hiring new employees
B) The cost of employee benefits
C) Changes in employee salaries over time
D) Budgeted positions that are not filled"
"What do the Regular, Longevity, and Premium Pay categories represent in the Personnel - Salaries & Wages subclass?","The Regular Pay category represents employees who are paid a fixed salary regardless of their performance or tenure, while the Premium pay category is for those who receive additional compensation for working overtime or in hazardous conditions."
"What was the accomplishment of William ""Red"" Whittaker related to the Three Mile Island nuclear accident?","adopt a comprehensive urban renewal plan. By the early 1960s, a new image of Pittsburgh was beginning to emerge, one that was cleaner and more attractive than that of its industrial past."
What is the American Rescue Plan Act of 2021 and how much funding did Pittsburgh receive?,"Pittsburgh received a total allocation of $334,072,022.00 from American Recovery Plan funds. 
The first and second tranches of funding were received, with the first one being received on June 1, 2022 and the final one also on that date. However, it is not specified when the funds were disbursed or how long it took for the city to receive them. Therefore, the exact date of disbursement cannot be determined based solely on this information. Additionally, no information is provided about how the funding will be used or what projects it will support, making it impossible to answer this question with certainty. It is also not clear if there are any restrictions or conditions attached to these funds, such as how they"
What are the four statutory categories for using American Rescue Plan funds?,"The four categories are: 
1. Responding to Covid 19 Public Health Emergency or Its Negative Economic Impacts
2. Providing Premium Pay to Workers Performing Essential Work
3. Provision of Government Services
4. Making Necessary Investments in Water, Sewer or Broadband Infrastructure"
By what date must American Rescue Plan funds be obligated and fully spent?,"The date by which all the funds should be spent is June 30, 2025."
What is the projected beginning balance for the EEOC Trust Fund in 2024?,"—% 59 - TOTAL  5,860,935  6,065,715  $ 585,780  2.2%"
What is the total revenue for the EEOC Trust Fund in 2024?,"-  2,500  500 54110 - Accounting/Auditing  6,250  18,750  13,375 54211 - Engineering  9,125  22,625  14,550 54301  - Other Professional/Technical Services 2,912  11,712   8.2% 54 - TRANSPORTATION & COMMUNICATIONS  16,800  20,400  6400 2.4% 55 - ELECTRICITY, GAS, & OTHER ENERGY  24,600  30,900  5400 1.7% 56 - REAL ESTATE, HOUSING, AND MORTGAGES  23,700  28,300  5500 0.9"
How much of the EEOC Trust Fund's 2024 revenue comes from intergovernmental revenue from federal sources?,"& Welfare  -  1,744  0%  52110 - PENSION  2,039  3,914  4,053  6.4% 52111 - Other  7,812  8,624  9,566  11.7% 53 - TOTAL  $ 282,407 $ 283,073 $ 0 $1.00%
Answer: The answer to the question is 0%."
What is the total expenditure for the EEOC Trust Fund in 2024?,"250,001) (3,750,002)   —   Payroll Deduction   (0.00)    (1.25)     (3.75)      (7.50)       (8.33)        (9.17) TOTAL EXPENDITURES   $ 6,662,711,961 $ 7,069,078,094 $ 5,984.5 million $ 4,892.9 million  $ 5.7 billion $ 2.8 billion   ENDING RESEARCH AND DEVELOPMENT FUNDS   RESERVED FOR   REPORTING PURPOSES   NOTES:  1) The Trustees of the Social Security Trust Funds"
What is the percentage change in the EEOC Trust Fund's expenditures from 2023 to 2024?,"57 - TRANSPORTATION  2,800  6,400  18,600 588.6% 57015 - Air Travel  800   —   (800) 57016 - Ground Travel   1.000   2.500   3.750 57017 - Motor Vehicle  400   600   200 57018 - Fuel  200   300   100 57019 - Parking  100   150   50 58 - TRAINING & DEVELOPMENT  0   0    0 59 - CONSTRUCTION & REPAIR  20   30   10 60 - ELECTRICAL  40   60   20 61 - HEATING & AIR CONDITIONING  50   75   25 62 - PLUMBING, P"
What is the budget for Professional & Technical Services in the EEOC Trust Fund for 2024?,"058 $ 23,067,534 $ 24,061.564 $ 25,076,982  Total $  22,366,863  $ 22.4%  %Change from prior year  13.0%   0   1   2   3   4   5   6   7   8   9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47"
What positions were eliminated from the EEOC Trust Fund in 2024 compared to 2023?,"58 Total Positional Allowables  128 $ 6,049,098  136 $ 7,058,788 Total Allowable Posi- tions  138 $ 8,157,866  140 $ 9,087,638 Total Allowed Pos- sionals  142 $ 10,275,464  144 $ 11,069,078 Total Salaried Posis- tionals and Allow- ances  143 $ 12,500,000  145 $ 13,250,001 Total Salary Allowability  147 $ 14,750,002  148 $ 15,400,003 Total Payable Allowabilities  149 $ 16,350,004  151 $ 17,100,005 Total"
What is the projected beginning balance for the Three Taxing Bodies Trust Fund in 2024?,$ 0.0%
What is the total expenditure for the Three Taxing Bodies Trust Fund in 2024?,Fund Balance (Ending Balance) Total Expenditure (Beginning Balance + Increase - Decrease - Change)
What is the projected ending balance for the Three Taxing Bodies Trust Fund in 2024?,$ 0.0%
How many full-time positions are budgeted in the Three Taxing Bodies Trust Fund for 2024?,".15 million  9,850 9.8% 59 - TRANSPORTATION & COMMUNICATIONS  2,300  22,800  20,480 83.3% 611 - Transportation  900  950  50  5.5% 61 - Communications  500   500    0   0% 62 - Utilities  200   200    1   1% 63 - Maintenance  300   300    2   2% 64 - Equipment  400   400    4   4% 65 - Misc.  100   100    5   5  66 - TOTAL  6,700  67,600  65,400  8.6% 67 - EXPENDITURE GROWTH %  0.0 % 0."
What is the salary for the Real Estate Manager position in the Three Taxing Bodies Trust Fund for 2024?,"4,000  5,500  6,100  7,800  10,400  11,900  13,300  14,700  17,600  18,750  20,250  21,850  23,350  24,450  25,650  26,950  27,550  28,150  29,050  30,380  31,770  32,410  33,730  34,490  35,690  36,530  39,020  40,430  41,870  44,420  45,790  46,510  47,740  48,330  49,710  50,390  51,820  52,"
What is the Pittsburgh Partnership Trust Fund used for?,"Using the property of transitivity, we can deduce that if the fund is for low-income persons in Pittsburgh and it is not a pension plan or an agency fund, then it must be a special revenue fund or a trust fund since these are the only other types of funds mentioned. However, since we know from the text that only two funds have formal appropriation set by the city (Stop the violence fund and Parks tax fund), and we don't have any information about this fund's appropriation, it's safe to assume that it falls under the category of ""special revenue funds"" or ""trust funds""."
What are the sources of revenue for the Pittsburgh Partnership Trust Fund?,"All revenues from special events such as community foot races, cinemas in parks, public community festivals, etc., as well as sponsorship and donation fees, are deposited in these trust funds. Registration fees are also included."
What is the projected beginning balance for the Pittsburgh Partnership Trust Fund in 2024?,"500  24,300  1,200 (4.2) 54101-1 - Legal Services  5,400  4,900  600 (11.8) 54 - TRANSPORTATION  50,700  49,800  700 (1.5) 55 - PUBLIC SAFETY  100,100  99,600  400 (3.7) 56 - DEPARTMENTAL OPERATING COSTS  - - - — —  57 - TOTAL  525,549  524,096  0  2.00%
Answer: The projected ending balance of the fund for 2024 is $80.855 million."
What is the total revenue for the Pittsburgh Partnership Trust Fund in 2024?,"Year 2024 Budget $ 1,078,812 $ 974,988 $ 83,884 (8.1) % Change in Budget for 2024 $ - - $ 84,086 (0.8) Total Budget Change for FY 2024  $ -  - $ 85,088 (1.0)  % Change from FY2023 Budget to FY24 Budget  8%  5% -1%"
What is the budget for grants in the Pittsburgh Partnership Trust Fund for 2024?,"year 2024. The forecast is based upon the most recent five years of actual expenditures, adjusted for inflation, and assumes no changes to the current level of funding for each department. It is important to note that this forecast does not include the impact of the COVID-19 pandemic, which is expected to have a significant impact on City revenues and expenditures in fiscal years 2021 and 2022. In addition, the forecast assumes that no new programs or services will be implemented during this time period and that all existing programs will continue to operate at their current levels. As such, it is possible that the actual expenditure levels for some departments may differ from those projected in this document. However, we believe that these projections provide a useful starting point for planning and budgeting"
