question,output
"When must an employer ""restart"" withholding the LST from an employee who filed an exemption certificate?",“ catch - up ” lump sum equal to the amount of tax that was not withheld from the employee as a result of the exemption
"How should an employer ""restart"" withholding the LST if an employee exceeds the $12,000 threshold?",by withholding ( 1 ) a “ catch - up ” lump sum equal to the amount of tax that was not withheld from the employee as a result of the exemption
What happens if a self-employed person works in Pittsburgh?,"self - employed – an individual who earns compensation from one or more separate business es carried on within the city, other than as an employee or as a partner. the single member owner of a n unincorporated entity that is treated as disregarded entity under the federal “ check - the - box ” regulations, 26 c. f. r. § 301. 7701 - 3 ( as it was in effect on january 1, 2020 ), is treated as self - employed and not as a partner. the compensation of a self - employ ed individual shall be that person ’ s taxable distributions from each separate business reported on schedules c, e, or f of the pennsylvania individual income tax form pa - 40, as well as any other non - employee compensation, which is not otherwise reported on schedules c, e, or f. passive income of a self - employed person is not subject to the payroll tax"
What is the procedure for direct LST payment by taxpayers who are self-employed or didn't have the tax withheld?,$ 52 lst. the tax may be prorated and paid quarterly
How long does a taxpayer have to respond to written requests for information from the City?,30 days
"Is information gained from tax declarations, returns, and investigations confidential?",confidential
What happens if an audit reveals that a taxpayer has incorrectly reported their tax liability?,
What is the deficiency assessment period for a taxpayer who filed a return in good faith?,three ( 3 ) years prior to the date when the deficiency is assess ed
How do severability provisions impact tax regulations if a court finds a provision to be unconstitutional?,
What is the current rate of the Parking Tax in Pittsburgh?,37. 5 percent
What law establishes the ceiling or maximum rate for Pittsburgh's Parking Tax?,municipal pension plan funding standard and recovery act
"What does the term ""Consideration"" mean in Pittsburgh's Parking Tax regulations?","the payment or compensation of any nature, received by the operator from or on behalf of the patron, upon an express or implied contract or under a lease or otherwise, whether or not separately stated, and whether paid in cash or credited to an account"
"What does the term ""Non-residential Parking Place"" mean in Pittsburgh's Parking Tax regulations?",imposes a tax for general revenue purposes
"What types of parking areas are excluded from the definition of ""Non-residential Parking Place""?",
"Who is considered an ""Operator"" under Pittsburgh's Parking Tax regulations?",provider
"Who is considered a ""Patron"" under Pittsburgh's Parking Tax regulations?","any person entering into a transaction to park or store a motor vehicle at a non - residential parking place for any period of time for consideration, excluding any transaction involving exempt valet parking services"
What is the difference between Exempt Valet Parking Services and Taxable Valet Parking Services?,less than the prevailing parking rate
"What conditions must be met for valet parking services to be considered ""Exempt""?",any parking services provided to a patron that do not meet the definition of exempt valet parking services shall be considered taxable valet parking services
What registration requirements apply to operators who begin a non-residential parking place?,annual license § 201. registration
What license is required to operate a non-residential parking place in Pittsburgh?,
Is a parking license transferable between operators or locations?,licenses are not transferable
How is the Parking Tax calculated in Pittsburgh?,at the rate set by ordinance on the consideration for each transaction
What is the simplified calculation method for computing the Parking Tax?,calculation of tax
How is the total payment calculated when a surcharge is imposed on parking fees?,"the following method shall be used to compute the total payment collected by the operator and paid by the patron when a surcharge is imposed, whether the tax total is taken from individual cash register tapes or where individual collections are not kept for each ticket"
Who is responsible for collecting the Parking Tax from patrons?,the treasurer
What trust relationship is created when an operator collects Parking Tax?,"a tax for general revenue purposes is imposed upon each patron entering into a parking transaction, at the specified rate of the consideration for each such transaction, which tax shall be collected by the operator from the patron"
What is the liability of an operator who fails to collect the required Parking Tax?,negligently or willfully
When must operators file returns for the Parking Tax?,fifteenth day of each month
Must separate returns be filed for each parking location operated by the same operator?,any operator with more than one parking place shall file a separate return for each individual parking place
What information must be included on Parking Tax returns?,total consideration received for each category of parking
How must operators handle missing or unaccounted-for parking tickets?,must report on a form prescribed by the treasurer
What documentation is required for adjustments to previously filed Parking Tax returns?,"a full, detailed explanation showing the adjusted amounts"
Where must Parking Tax returns be filed?,"department of finance, parking tax division"
Who must sign a Parking Tax return?,"any operator with more than one parking place shall file a separate return for each individual parking place. at the time of filing the return, the operator shall pay to the treasurer"
What happens if a return does not comply with all requirements?,conditional
By what date must Parking Tax payments be made?,fifteenth day of each month
Does the Treasurer's acceptance of a tax return constitute final acceptance of its accuracy?,does not
What general record-keeping requirements apply to parking operators?,complete and accurate records of all transactions
What types of evidence of parking transactions must be displayed on vehicles?,manually issued tickets
What requirements apply to manually issued parking tickets?,"tickets must be numbered, dated, and issued in serial number sequence"
What are the requirements for mechanically issued parking tickets?,"tickets must be numbered, dated, and issued in serial number sequence"
What requirements apply to parking meters?,shall not be required to display evidence of the parking transaction on each vehicle
What documentation is required for free employee parking?,"a list of each employee ’ s name, job title and license plate number"
When might an operator be required to install revenue control equipment?,as a condition of licensing
"What activities may constitute ""underreporting"" that could trigger a requirement for revenue control equipment?",underreporting or failure to report the number of cars parked in the parking place
What are the two types of revenue control equipment specified in the regulations?,type a. type a shall be of the type that has entrance and exit gate arms ; synchronized ticket dispenser ; fee computer inclusive of printer and fee indicator ; and counters
What information must be included on rate signs posted at parking facilities?,
What are the two acceptable formats for posting parking rates?,
What is the retention period for parking tax records?,not less than five ( 5 ) years
What powers does the Treasurer have regarding the administration of the Parking Tax?,the power to prescribe forms necessary for the administration of the code and these regulations
What happens if records are not available in Pittsburgh to support filed returns?,the taxpayer will be required to make them available to the treasurer either by producing them in a city location or by paying for the expense s incurred by the treasurer in traveling to the place where the records are regularly kept.
Are parking tax investigations and records confidential?,confidential
What is the time period for deficiency assessments where an operator has filed a return?,
What is the time period for deficiency assessments where no return was filed?,three ( 3 ) years
What is the penalty rate for late payment of the Parking Tax?,five percent
What is the maximum penalty that can be applied for non-payment of the Parking Tax?,
What is the interest rate charged on delinquent Parking Tax balances?,one percent ( 1 % )
Are the remedies for violations of Parking Tax regulations mutually exclusive?,
How does the severability clause in the regulations function if a provision is found to be illegal?,remain in full force and effect
What is not a valid defense for the imposition of penalties for Parking Tax violations?,good faith
What is the maximum fine for an operator who negligently or willfully makes a false statement on a Parking Tax return?,five hundred dollars
What constitutes a violation of Pittsburgh's Parking Tax regulations?,"no person shall violate any provisions of the city code including, but not limited to any violation under title seven, art. vii section 763 or title five, art. vii, section 548, of the pittsburgh code, including, but not limited to : ( 1 ) fail, neglect, or refuse to make any declaration or file a return required under these regulations"
What is the time limitation for filing suit to recover unpaid Parking Tax when the return is fraudulent?,six ( 6 ) years
What happens if a taxpayer fails to request a Treasurer's Hearing within the specified time period?,waives the right to contest any element of the assessment
What information must be included in a written petition for reassessment of Parking Tax?,"the taxpayer ’ s name, address, and daytime telephone number"
What is the time limit for requesting a Parking Tax refund?,
What proof must an operator provide when claiming a refund for Parking Tax overpayment that was refunded to patrons?,
What is the severability clause in Pittsburgh's tax regulations designed to do?,
What is the Sports Facility Usage Fee in Pittsburgh?,
What is the rate of the Sports Facility Usage Fee in Pittsburgh?,
Who is subject to the Sports Facility Usage Fee in Pittsburgh?,treasurer
"What facilities are considered ""Publicly Funded Facilities"" under the Usage Fee regulations?","any sports stadium or arena in the city which has been constructed or maintained, in whole or in part, through th e use of public funds. publicly funded facilities include : 1001 - 1035 5th ave ( ppg paints arena ), 1000 fort duquesne blvd ( david lawrence conventi on center ), 100 art rooney dr ( heinz field ), 115 federal st ( pnc park ), 3719 terrace st ( peterson event center ), and 400 n shore dr ( stage ae )"
How is earned income allocated for members of professional athletic teams other than football?,calculate a “ total games played within the city of pittsburgh
How is earned income allocated for members of professional football teams?,"§ 202. allocation of earned income. ( a ) members of professional athletic teams, other than professional football teams calculate a “ total games played within the city of pittsburgh"
How is earned income allocated for non-player personnel under the Usage Fee regulations?,apportioned on the basis of working days per year
How is earned income allocated for entertainers under the Usage Fee regulations?,apportioned
Who is required to withhold and remit the Sports Facility Usage Fee?,the treasurer
What are the obligations of a Publicly Funded Facility regarding contracts?,to provide the finance department with all relevant contract s and / or contract information in a manner acceptable to the finance department
What is the registration requirement for Qualified Managing Entities under the Usage Fee regulations?,every registration shall be made upon a form authorized and furnished by the treasurer
What is the registration requirement for Nonresident Contracting Parties under the Usage Fee regulations?,"withhold and remit to the treasurer the usage fee. in the event the qualified managing entity or nonresident contracting party fails, refuses, or neglects to withhold or remit the usage fee or any portion thereof, the employee or nonresident contracting party shall be personally liable for payment of the usage fee and any applicable penalty. ( b ) every nonresident contracting party not registered with the city employing or contracting with nonresidents receiving earned income within the city shall, within sixty ( 60 ) days of entering into an agreement with a publicly funded facility to engage in an event held in a publicly funded facility for which compensation is earned, register with the treasurer with the nonresident contracting party ’ s name, address, and any other information as the treasurer may require. every registration shall be made upon a form authorized and furnished by the treasurer"
When must a Qualified Managing Entity file Usage Fee returns and payments?,§ 203
When must a Nonresident Contracting Party file Usage Fee returns and payments?,§ 203
Should the Usage Fee be reported in the local tax box on W-2 forms?,the usage fee should not
What tax exemption is provided to individuals who pay the Sports Facility Usage Fee?,
What information must be included in Usage Fee returns?,"the names of employees, contracting parties, and / or subcontracting parties and their respective home addresses, city residency, phone numbers, social security numbers, nature of relationship, nature of work performed, dates of work performed, and locations of work performed"
What is the penalty rate for non-payment of the Sports Facility Usage Fee?,2. 3 percent
What is the maximum penalty that can be applied for non-payment of the Usage Fee?,one ( 1 ) percent per month
What is the fine for a Qualified Managing Entity that willfully fails to collect or truthfully account for the Usage Fee?,"two thousand dollars ( $ 2, 000 ) and / or a term of imprisonment of not more than six ( 6 ) months"
What is the fine for negligently or willfully refusing to file a Usage Fee return?,"not more than one thousand dollars ( $ 1, 000 ) and / or to a term of imprisonment of not more than six ( 3 ) any qualified managing entity or nonresident contracting party who negligently or willfully makes any false or untrue statement on the usage fee return shall upon conviction, be sentenced to pay a fine of not more than two thousand dollars ( $ 2, 000 ) and / or a term of imprisonment of not more than six ( 6 ) months"
What is the fine for negligently or willfully making a false statement on a Usage Fee return?,
What is the fine for negligently or willfully failing to remit the entire amount of the Usage Fee?,"$ 25, 000. 00 or to imprisonment not exceeding two ( 6 ) months, or both ; ( 2 ) any qualified managi ng entity or nonresident contracting party who negligently or willfully refuses to file a usage fee return as required by th ese regulations shall, upon conviction, be sentenced to pay a fine of not more than one thousand dollars"
What additional consequence may be imposed on those found guilty of Usage Fee violations?,
What time limitation applies to suits for collection of Usage Fees when a return has been filed but no fee paid?,three ( 3 ) years
What is Carnegie Mellon University?,a private research university
How much follow-on funding have CMU-linked startups raised over the past 10 years?,more than $ 7 billion
"Why do companies like Uber, Aurora, Waymo, and Motional have a presence in Pittsburgh?",
What are some locations where CMU has a presence beyond Pittsburgh?,silicon valley
"What was created by Carnegie Mellon research professor Scott Fahlman on September 19, 1982?",
Who was the Carnegie Mellon alumnus known as an iconic figure in the pop art movement?,andy warhol
What are some areas where Andy Warhol's work was influential?,"hand drawing, painting, printmaking, photography, silk screening, sculpture, film and music"
What records must be kept by entities subject to the Usage Fee regulations?,true and accurate returns
For how long must Usage Fee records be preserved?,a period of not less than three ( 3 ) year s
What happens if records to support Usage Fee returns are not available in the City?,
"Is information gained from Usage Fee declarations, returns, and investigations confidential?",confidential
What is the time limit for deficiency notices for the Usage Fee when a return has been filed?,up to three ( 3 ) years
What is the time limit for deficiency notices for the Usage Fee when no return has been filed?,up to three ( 3 ) years
What are the consequences of a contract's participants being denied future use of Publicly Funded Facilities?,any nonresident contracting party who enters into a contract for the use of publicly funded facility to engage in a non - sporting event for com pensation shall deduct from the contract
How does the Usage Fee calculation differ between sporting events and non-sporting events?,
When is a Qualified Managing Entity required to register with the Treasurer?,within sixty ( 60 ) days
What partnership did a Carnegie Mellon professor establish with the Girl Scouts?,create your legacy with a philanthropic investment
What is the name of the Girl Scout badge related to negotiation?,"win - win : how to get what you want, """
Who is the Carnegie Mellon professor who worked with the Girl Scouts on negotiation skills?,linda babcock
What books did Linda Babcock co-author on negotiation?,women don ' t ask and ask for it
When did Carnegie Mellon establish the nation's first Robotics Institute?,1979
"Who is William ""Red"" Whittaker and what did he found?",professor and alumnus
What achievement did the Tartan Racing Team accomplish?,
What role does the City Controller play in Pittsburgh's government?,the office of the city controller is responsible for auditing all city expenditures in order to prevent wasteful or fraudulent practices
What is the role of City Council in Pittsburgh's government?,"city council proposes, debates, and votes on legislation governing and / or affecting the city. this body also approves appointments as provided by the charter, regulates revenues and expenditures, and approves the final operating and capital budgets for the city. the government of pittsburgh is composed of the mayor of pittsburgh, the pittsburgh city council, and various boards and commissions. the mayor and the nine - member council each serve four - year terms"
What is the City Council as a Body responsible for?,the introduction of legislation generated by the administrative branch of city government
What is the balanced budget mandate in Pittsburgh?,"the annual operating budget be balanced, with estimated revenues equal to or greater than estimated expenditures"
What is the fiscal year for the City of Pittsburgh?,"january 1, 2024"
What are the major types of funds in Pittsburgh's financial reporting system?,"liquid fuels fund, the pittsburgh partnership fund, and the grants fund"
What is the General Fund used for in Pittsburgh's budget?,pay the expenses of conducting the public business of the city of pittsburgh
What is the Capital Projects Fund used for in Pittsburgh's budget?,"construction and / or maintenance of any public property, facility, or program"
What are Community Development Funds used for in Pittsburgh's budget?,improve housing conditions
What are Special Revenue Funds and what are some examples?,"liquid fuels fund, the pittsburgh partnership fund, and the grants fund"
What are Fiduciary Funds used for in Pittsburgh's budget?,to account for resources held for the benefit of parties outside the government
How is the City's chart of accounts organized in the budget?,levels of detail
What does the fund code 11101 represent in Pittsburgh's budget?,
What are the major expenditure subclasses in Pittsburgh's budget?,project specific to individual contract agreements
What is the largest source of tax revenue for the City of Pittsburgh?,
What is the City real estate tax rate as of 2023?,
What is the Earned Income Tax rate for Pittsburgh residents?,1. 25 percent
What is the Payroll Preparation Tax rate and who pays it?,0. 55 percent
What was the actual tax revenue for the City of Pittsburgh in 2022?,
What was the percentage of total City revenue that came from tax sources in 2022?,
What was approved by Pittsburgh voters in 2019 regarding park funding?,
What are some examples of non-tax revenue for the City of Pittsburgh?,building construction permits and liquor and malt beverage licenses
What was the percentage of total City revenue that came from non-tax sources in 2022?,
What major expenditures are included in the Personnel - Employment Benefits subclass?,"healthcare, workers ’ compensation benefits, pension benefits, and retiree benefits"
What accounts are included under the Workers' Compensation category?,"personnel – employment benefits subclass. most medical, indemnity, and fees"
What accounts are included under the Pension and OPEB category?,
How is debt service defined in the Pittsburgh budget?,payments made to the principal and interest balances of previously issued municipal bonds in order to ensure their timely retirement
When does the budget development cycle begin in Pittsburgh?,january
What happens after the Mayor releases the preliminary budget?,"revisions are made. when the proposals and the mayor ’ s strategic initiatives are aligned, the mayor formally submits both budgets to city council in november. city council reviews the budget and holds a number of meetings and televised hearings with each division. after consideration of public input and member priorities, city council makes changes to the budget and then holds a vote to adopt the budget"
What is the deadline for City Council to adopt the budget?,december 31st
What happens if a budget is not approved before December 31st?,"failure to enact a budget prior to january 1st of the new year means that the city cannot pay any vendors, cannot undertake any projects, and cannot ( subject to collective bargaining agreements ) pay any employees"
When was the last time Pittsburgh's budget was not approved before December 31st?,1931
What is the purpose of the five-year financial forecast?,maintaining financial discipline
What information sources are used to develop revenue forecasts for Pittsburgh?,"bureau of economic analysis and the bureau of labor statistics and organizations such as fannie mae, the national association of realtors, and realstats"
How does the Office of Management and Budget develop expenditure projections for the five-year forecast?,first enters all known future year expenditures into its budget management software
What is the total budgeted amount for the City of Pittsburgh's General Fund for 2024?,
"How much money is the City Controller, City Treasurer, and Director of OMB authorized to transfer from the general fund to a PAYGO fund?",twenty - two million dollars
What is the purpose of the vacancy allowance in departmental budgets?,adjusts the subclass expenditures to account for savings associated with vacant positions throughout the year
"What do the Regular, Longevity, and Premium Pay categories represent in the Personnel - Salaries & Wages subclass?",the total base pay for the organization
"What was the accomplishment of William ""Red"" Whittaker related to the Three Mile Island nuclear accident?",
What is the American Rescue Plan Act of 2021 and how much funding did Pittsburgh receive?,$ 350 billion
What are the four statutory categories for using American Rescue Plan funds?,1. to respond to the covid - 19 public health emergency or its negative economic impacts
By what date must American Rescue Plan funds be obligated and fully spent?,"december 31, 2024"
What is the projected beginning balance for the EEOC Trust Fund in 2024?,"$ 5, 840, 835 2023 2024"
What is the total revenue for the EEOC Trust Fund in 2024?,"$ 46, 843, 825"
How much of the EEOC Trust Fund's 2024 revenue comes from intergovernmental revenue from federal sources?,
What is the total expenditure for the EEOC Trust Fund in 2024?,
What is the percentage change in the EEOC Trust Fund's expenditures from 2023 to 2024?,
What is the budget for Professional & Technical Services in the EEOC Trust Fund for 2024?,
What positions were eliminated from the EEOC Trust Fund in 2024 compared to 2023?,
What is the projected beginning balance for the Three Taxing Bodies Trust Fund in 2024?,"$ 525, 548 2023 2024"
What is the total expenditure for the Three Taxing Bodies Trust Fund in 2024?,
What is the projected ending balance for the Three Taxing Bodies Trust Fund in 2024?,"$ ( 144, 766"
How many full-time positions are budgeted in the Three Taxing Bodies Trust Fund for 2024?,
What is the salary for the Real Estate Manager position in the Three Taxing Bodies Trust Fund for 2024?,
What is the Pittsburgh Partnership Trust Fund used for?,"special revenue funds are funds in which a substantial portion of the proceeds or inflows are restricted or committed for a specific purpose. examples of these include the liquid fuels fund, the pittsburgh partnership fund, and the grants fund. while they are included in this document, the city only sets formal appropriations for two of the funds : the stop the violence fund, and the parks tax fund. although many of these include the word “ trust ” in their titles, this is more of an informal recognition that the funds are designated for special purposes ; the funds are not held by any trustees or custodians. fiduciary funds are used to account for resources held for the benefit of parties outside the government"
What are the sources of revenue for the Pittsburgh Partnership Trust Fund?,"community footraces, cinema in the park, public community festivals, and other such events as managed by the office of special events )"
What is the projected beginning balance for the Pittsburgh Partnership Trust Fund in 2024?,"$ 525, 548 2023"
What is the total revenue for the Pittsburgh Partnership Trust Fund in 2024?,"$ — $ — n / a 51 - personnel - salaries & wages $ 434, 202 $ 306, 861 $ ( 127, 341 )"
What is the budget for grants in the Pittsburgh Partnership Trust Fund for 2024?,
How many full-time positions are budgeted in the Pittsburgh Partnership Trust Fund for 2024?,
What is the highest paid position in the Pittsburgh Partnership Trust Fund for 2024?,
What is the Police Secondary Employment Trust Fund used for?,fees
What is the projected beginning balance for the Police Secondary Employment Trust Fund in 2024?,
What are the sources of revenue for the Police Secondary Employment Trust Fund?,fees
What is the total revenue for the Police Secondary Employment Trust Fund in 2024?,
What is the budget for Premium Pay in the Police Secondary Employment Trust Fund for 2024?,51401
How many full-time positions are budgeted in the Police Secondary Employment Trust Fund for 2024?,
What is the Stop the Violence Fund used for?,"to support services and programs that prevent violence and criminal activities, and also to support community health and safety programs"
What is the projected beginning balance for the Stop the Violence Fund in 2024?,"$ 654, 570"
What is the source of funding for the Stop the Violence Fund?,"to support services and programs that prevent violence and criminal activities, and also to support community health and safety programs"
What percentage of the Bureau of Police's budget was transferred to the Stop the Violence Fund in 2022?,6 %
What is the total revenue for the Stop the Violence Fund in 2024?,6 %
What is the total expenditure for the Stop the Violence Fund in 2024?,"$ 9, 852, 848"
What is the budget for Professional Services in the Stop the Violence Fund for 2024?,53901
How many full-time positions are budgeted in the Stop the Violence Fund for 2024?,
What is the highest paid position in the Stop the Violence Fund for 2024?,
What is the Special Events Program Trust Fund used for?,
What is the projected beginning balance for the Special Events Program Trust Fund in 2024?,
What are the sources of revenue for the Special Events Program Trust Fund?,"sponsorships, donations, and registration fees"
What is the total revenue for the Special Events Program Trust Fund in 2024?,
What is the projected ending balance for the Special Events Program Trust Fund in 2024?,"$ 152, 238, 279"
How many full-time positions are budgeted in the Special Events Program Trust Fund for 2024?,"209, 572"
What is the Parks Trust Fund used for?,
What is the source of funding for the Parks Trust Fund?,
What is the projected beginning balance for the Parks Tax Trust Fund in 2024?,"$ 1, 558, 434 2023 2024"
What is the total revenue for the Parks Tax Trust Fund in 2024?,
What is the total expenditure for the Parks Tax Trust Fund in 2024?,
How many full-time positions are budgeted in the Parks Tax Trust Fund for 2024?,
What department manages the Parks Tax Trust Fund?,office of special events
What is the Liquid Fuels Trust Fund used for?,to enhance the quality of municipal services and reduce the city ' s financial burden
What are the sources of revenue for the Liquid Fuels Trust Fund?,"community footraces, cinema in the park, public community festivals, and other such events as managed by the office of special events ), including sponsorships, donations, and registration fees"
What is the projected beginning balance for the Liquid Fuels Trust Fund in 2024?,"$ 525, 548 2023 2024"
What is the total revenue for the Liquid Fuels Trust Fund in 2024?,$ 4. 1 million per year
What is the total expenditure for the Liquid Fuels Trust Fund in 2024?,
What is the projected ending balance for the Liquid Fuels Trust Fund in 2024?,"$ 152, 238"
What is the Regional Asset District Trust Fund used for?,282 special food service trust fund
What is the source of funding for the Regional Asset District Trust Fund?,allegheny county regional asset district. the city acts as trustee / agent for properties owned jointly by the three taxing bodies
What is the projected beginning balance for the Regional Asset District - Public Works Trust Fund in 2024?,"$ 1, 558, 434 2023 2024"
What is the total revenue for the Regional Asset District - Public Works Trust Fund in 2024?,
What is the total expenditure for the Regional Asset District - Public Works Trust Fund in 2024?,
How many full-time positions are budgeted in the Regional Asset District - Public Works Trust Fund for 2024?,
What is the highest paid position in the Regional Asset District - Public Works Trust Fund for 2024?,
What is the Public Works Trust Fund used for?,"construction and / or maintenance of any public property, facility, or program ( such as buildings, park facilities, infrastructure, information technology systems ) that is expected to provide a long - term benefit to the city. all projects funded by debt should meet two requirements : a minimum value of $ 50, 000 and a life expectancy greater than five years. funding for the capital projects fund comes from three major sources : pay - as - you - go ( paygo ) funding, bonds, and state and federal funds. for more detail on the capital budget and what it funds, please refer to the 2024 capital budget document. & technical services 185, 000 185, 000 $ — — % 53901 - professional services 185, 000 185, 000 — 56 - supplies 750, 000 750, 000 — — % 56401 - materials 750, 000 750, 000 — 91 - transfer out — — — n / a 91108 - project fund out — — — expenditures total $ 935, 000 $ 935, 000 $ — — % net total $ 65, 000 $ 65, 000 $ — projected ending balance $ 3, 052, 292 city of pittsburgh operating budget public works trust fund fiscal year 2024 4000284300 department : public works authorizing resolution : 531 of 1997 description : the trust fund was established for the deposit of revenue from the outdoor advertising on bus shelters, as well as contributions from private citizens, companies, foundations, and governmental agencies for expenditures involving street trees"
What are the sources of revenue for the Public Works Trust Fund?,"pay - as - you - go ( paygo ) funding, bonds, and state and federal funds"
What is the projected beginning balance for the Public Works Trust Fund in 2024?,"$ 5, 840, 835 2023 2024"
What is the total revenue for the Public Works Trust Fund in 2024?,
What is the total expenditure for the Public Works Trust Fund in 2024?,
What is the purpose of the Shade Tree Trust Fund?,
What is the source of revenue for the Shade Tree Trust Fund?,
What is the projected beginning balance for the Shade Tree Trust Fund in 2024?,"$ 889, 177"
What is the total revenue for the Shade Tree Trust Fund in 2024?,"$ 150, 000 $ 100, 000 $ ( 50, 000 )"
What is the total expenditure for the Shade Tree Trust Fund in 2024?,
How many full-time positions are budgeted in the Shade Tree Trust Fund for 2024?,"how many full - time positions are budgeted in the shade tree trust fund for 2024? expenditures : any and all expenses incurred during the implementation of tree related projects, programs, or promotions recommended by the shade tree commission projected beginning balance $ 889, 177 2023 2024 increase / % subclass detail budget budget ( decrease ) change 43 - charges for services $ 150, 000 $ 100, 000 $ ( 50, 000 ) ( 33. 3 ) % 43905 - market based revenue opportunities 150, 000 100, 000 $ ( 50, 000 ) revenues total $ 150, 000 $ 100, 000 $ ( 50, 000 ) ( 33. 3 ) % 51 - personnel - salaries & wages $ 61, 590 $ 63, 437 $ 1, 847 3. 0 % 51101 - regular 61, 590 63, 437 1, 847 52 - personnel - employee benefits 14, 077 14, 250 173 1. 2 % 52101 - health insurance 8, 163 8, 163 — 52111 - other insurance / benefits 1, 202 1, 234 32 52201 - social security 4, 712 4, 853 141 53 - professional & technical services 65, 000 65, 000 — — % 53301 - workforce training 5, 000 5, 000 — 53901 - professional services 60, 000 60, 000 — 54 - property services 65, 000 65, 000 — — % 54105 - landscaping 60, 000 60, 000 — 54201 - maintenance 5, 000 5, 000 — 56 - supplies 20, 000 20, 000 — — % 56151 - operational supplies 15, 000 15, 000 — 56401 - materials 5, 000 5, 000 — expenditures total $ 225, 667 $ 227, 687 $ 2, 020 0. 9 % net total $ ( 75, 667 ) $ ( 127, 687 ) $ ( 52, 020 ) projected ending balance $ 761, 490 city of pittsburgh operating budget shade tree trust fund fiscal year 2024 4000285300 2023 rate / hours / 2023 2024 rate / hours / 2024 title fte grade months budget fte grade months budget arborist - utility coordinator 1 19g 12 $ 61, 590 1 19g 12 $ 63, 437"
What is the Wayfinders Signage Trust Fund used for?,270 public works trust fund
What is the projected beginning balance for the Wayfinders Signage Trust Fund in 2024?,"$ 3, 052, 292"
What is the Solid Waste Trust Fund used for?,
What is the projected beginning balance for the Solid Waste Trust Fund in 2024?,"$ 14, 164 2023 2024"
What is the total expenditure for the Solid Waste Trust Fund in 2024?,
What is the Schenley Park Rink Trust Fund used for?,department of parks and recreation
What is the projected beginning balance for the Schenley Park Rink Trust Fund in 2024?,"$ 715, 971 2023 2024"
What are the sources of revenue for the Schenley Park Rink Trust Fund?,"rink fees, concession revenue, and room rentals"
What is the total revenue for the Schenley Park Rink Trust Fund in 2024?,"$ 160, 000 $ 160, 000"
What is the total expenditure for the Schenley Park Rink Trust Fund in 2024?,"$ 160, 000 $ 160, 000"
What is the projected ending balance for the Schenley Park Rink Trust Fund in 2024?,"$ 715, 971 2023 2024"
What is the Regional Asset District - Parks & Recreation Trust Fund used for?,
What is the projected beginning balance for the Regional Asset District - Parks & Recreation Trust Fund in 2024?,"$ 1, 558, 434 2023 2024"
What is the total revenue for the Regional Asset District - Parks & Recreation Trust Fund in 2024?,
What is the total expenditure for the Regional Asset District - Parks & Recreation Trust Fund in 2024?,
How many full-time positions are budgeted in the Regional Asset District - Parks & Recreation Trust Fund for 2024?,
What is the highest paid position in the Regional Asset District - Parks & Recreation Trust Fund for 2024?,
What is the Mellon Park Trust Fund used for?,
What is the projected beginning balance for the Mellon Park Trust Fund in 2024?,"$ 1, 625, 323 2023 2024"
What is the total revenue for the Mellon Park Trust Fund in 2024?,"$ 858, 500 $ 858, 500 $"
What is the total expenditure for the Mellon Park Trust Fund in 2024?,
How many full-time positions are budgeted in the Mellon Park Trust Fund for 2024?,
What is the Senior Citizens Program Trust Fund used for?,
What are the sources of revenue for the Senior Citizens Program Trust Fund?,
What is the projected beginning balance for the Senior Citizens Program Trust Fund in 2024?,"$ 5, 840, 835 2023 2024"
What is the total revenue for the Senior Citizens Program Trust Fund in 2024?,"$ 70, 000 $ 70, 000 $"
What is the total expenditure for the Senior Citizens Program Trust Fund in 2024?,
How many full-time positions are budgeted in the Senior Citizens Program Trust Fund for 2024?,
What is the Special Food Service Trust Fund used for?,
What is the source of revenue for the Special Food Service Trust Fund?,
What is the projected beginning balance for the Special Food Service Trust Fund in 2024?,"$ 105, 223 2023 2024"
How many days does the Pittsburgh Home & Garden Show last?,
What is the Pittsburgh Home & Garden Show primarily focused on?,
How many exhibits are at the Pittsburgh Home & Garden Show?,
Which parade in Pittsburgh is considered one of the largest of its kind in the US?,st. patrick ' s day
What is reimagined during the Pittsburgh Humanities Festival?,new ideas brought to light
What unique culinary experience is featured at the Pittsburgh Humanities Festival?,
Where is the newly renovated Greer Cabaret Theater located?,
What types of performances are featured at the Pittsburgh Fringe festival?,"theater, comedy, visual arts, puppetry, music, opera, spoken word and much more"
How many venues does the Pittsburgh Fringe festival span?,venues throughout the city
How long does the Art All Night festival last?,22 - hour
What type of venue hosts the Art All Night festival?,warehouse
How many participants are involved in Art All Night?,500 +
Is Art All Night a family-friendly event?,this inclusive and family - friendly
How many runners participate in the Pittsburgh Marathon Weekend?,"40, 000"
What different race events are part of the Pittsburgh Marathon Weekend?,"upmc health plan half marathon, fedex pittsburgh marathon relay, upmc health plan / upmc sports medicine pittsburgh 5k run, chick - fil - a pittsburgh kids marathon, pittsburgh pet walk fueled by pro plan and sheetz pittsburgh toddler trot"
When is the 2025 Pittsburgh Marathon Weekend scheduled?,"may 4, 2025"
What recognition did the Millvale Music Festival receive in 2022 and 2023?,best music fest
How many bands perform at the Millvale Music Festival?,hundreds
Is there an admission fee for the Millvale Music Festival?,most activities are free of charge
What activities are available for children at the EQT Children's Theater Festival?,
How much do most activities at the EQT Children's Theater Festival cost?,
How many days does the JFilm Festival run?,eleven
What organization presents the JFilm Festival?,
