question,output,correct_answer
"What is included in ""Gross Receipts"" under the Institution and Service Privilege Tax?",payments for service rendered to affiliates or subsidiaries,"Gross Receipts include cash, credits, property received from any Institution for services rendered in the City, payments from insurance or third-party payers, payments for services to affiliates, and payments from government programs like Medicare and Medicaid."
"Are membership fees included in ""Gross Receipts"" under the Institution and Service Privilege Tax?",,"No, membership fees, dues, and assessments that fall equally upon all members are excluded from Gross Receipts, but individual charges for services to members are subject to tax."
"Are donations to religious organizations included in ""Gross Receipts""?",excluded from “ gross receipts,"No, donations and receipts associated with religious services received by religious organizations are excluded from Gross Receipts."
"What types of organizations are considered ""Persons"" under the Institution and Service Privilege Tax?",,"Persons include foundations, partnerships, corporations, charitable trusts, limited liability companies, and unincorporated associations operating under a non-profit charter, particularly those exempt under various subsections of 26 U.S.C. § 501(c)."
Are natural persons subject to the Institution and Service Privilege Tax?,"corporations organized under an act of congress which are instrumentalities of the united states, including any entity described in 26 u. s. c. § ( 2 ) the united states, any s tate or political subdivision thereof, any authority of the state or local government, any elementary or secondary school with in the city ( public or private ), and any federal, state, or municipal pension plan ; ( 3 ) any institution of purely public charity, under 10 p. s. § 371, that provides the evidence required by 10 p. s. § 376 ( a ) ; ( 4 ) any insurance company regulated by the pennsylvania insurance ( 5 ) any utility regulated by the pennsylvania utility commission ; ( 6 ) any voluntary employee ’ s beneficiary association described in 26 u. s. c. ( a ) whether or not a person carries on a taxable activity within the meaning of the institution and service privilege tax is essentially a question of fact","No, natural persons are not subject to the Institution and Service Privilege Tax as they are specifically excluded from the definition of ""Person."""
"What is considered a ""Service"" under the Institution and Service Privilege Tax?",institutional service,"A Service is defined as carrying on or exercising within Pittsburgh any medical, educational, beneficial, social, recreational, vocational or other type of service for which a charge is made, as a non-profit entity, but does not include the sale or rental of personal property."
"What entities are considered ""Taxable Institutions"" under these regulations?","corporations organized under an act of congress which are instrumentalities of the united states, including any entity described in 26 u. s. c. § ( 2 ) the united states, any s tate or political subdivision thereof, any authority of the state or local government, any elementary or secondary school with in the city ( public or private ), and any federal, state, or municipal pension plan","Taxable Institutions include any person, organization, foundation, corporation, or unincorporated association operating under a non-profit charter, such as hospitals, nursing homes, colleges, universities, non-elementary/secondary schools, cemeteries, veterans organizations, recreational centers, and fundraising organizations."
When is the Institution and Service Privilege Tax return due?,first month,The Institution and Service Privilege Tax return is due on April 15th of every year.
What is the tax year for the Institution and Service Privilege Tax?,2024,The tax year for the Institution and Service Privilege Tax is the twelve-month period from January 1 to December 31.
Who must sign the tax return if the taxpayer is a corporation?,the officer,"If the taxpayer is a corporation or unincorporated entity, a Director, President, Trustee, or Officer may sign the tax return."
How is the tax calculated for taxpayers who were not in service during the whole preceding calendar year?,by the amount of service transacted by the taxpayer or institution during the entire receding calendar year,"For taxpayers not in service during the whole preceding calendar year, the tax is computed on gross receipts for the portion of the year they were in business."
How is the tax calculated for taxpayers who commence service during the current tax year?,a fraction whos e numerator,"For taxpayers commencing service during the current tax year, they must file a return within forty days from the date of commencing service, computing tax based on the first month's receipts."
"How is the tax calculated for taxpayers whose service is temporary, seasonal, or itinerant?",the tax is measured by the amount of service transacted by the taxpayer or institution during the entire receding calendar year,"For temporary, seasonal, or itinerant service providers, they must file a return within seven days from completion of the service, reporting actual gross volume of service during the tax period."
When must temporary or seasonal service providers file their tax returns?,seven ( 7 ) days,Temporary or seasonal service providers must file their tax returns within seven days from the day they complete their service.
What information must be attached to the tax return to assist in the review of Taxable Gross Receipts?,a duplicate of any form 990 - t,A duplicate of any Form 990-T filed with the Internal Revenue Service for the period should be attached to the tax return to assist in review of Taxable Gross Receipts.
Are receipts from government bodies excluded from the tax base?,"receipts from sales made or services rendered to all government bodies, including authorities, and to religious, charitable and educational corporations and associations shall not be excluded from the tax base","No, receipts from sales made or services rendered to government bodies, including authorities, are not excluded from the tax base, though Exempt Receipts and receipts of Exempt Institutions are excluded."
How are receipts from services associated with interstate commerce apportioned to Pittsburgh?,by multiplying total receipts earned everywhere times the city apportionment percentage,Receipts from services associated with interstate commerce are apportioned to Pittsburgh by multiplying total receipts earned everywhere by the City Apportionment percentage.
What is the City Apportionment percentage used for receipts associated with interstate commerce?,multiplying total receipts earned everywhere times the city apportionment percentage,"The City Apportionment percentage is the sum of the Payroll Percentage factor, Property Percentage factor, and Sales Percentage factor, divided by three (or fewer if some factors are zero)."
What are the three factors used to calculate the City Apportionment percentage?,"payroll percentage factor, property percentage factor, and sales percentage factor","The three factors used to calculate the City Apportionment percentage are the Payroll Percentage factor, Property Percentage factor, and Sales Percentage factor."
How is the Payroll Percentage factor calculated?,payroll reported by the taxpayer subject to city local earned income tax divided by total payroll reported on federal form 940,The Payroll Percentage factor is calculated as payroll reported subject to City local earned income tax divided by total payroll reported on Federal Form 940.
How is the Property Percentage factor calculated?,"the property percentage factor shall be the sum of tangible property located in the cit y divided by the sum of tangible property located everywhere in the united states, determined as of december 31","The Property Percentage factor is calculated as the sum of tangible property located in the City divided by the sum of tangible property located everywhere in the United States, determined as of December 31."
How is the Sales Percentage factor calculated?,gross receipts from services provided in the city or offered from a city location divided by gross receipts everywhere,The Sales Percentage factor is calculated as gross receipts from Services provided in the City or offered from a City location divided by gross receipts everywhere.
When is a taxpayer considered to be engaged in interstate commerce?,"if it is subject to tax in another jurisdiction, outside the commonwealth, on its net income or on its gross receipts",A taxpayer is engaged in interstate commerce if it is subject to tax in another jurisdiction outside Pennsylvania on its net income or gross receipts.
What is the time limitation for filing suit to recover tax due when a return has been filed but no tax paid?,,"The time limitation for filing suit to recover tax due when a return has been filed but no tax paid is three years after the return was due or filed, whichever is later."
What is the time limitation for filing suit to recover tax in the case of a deficiency assessment?,three ( 3 ) years,The time limitation for filing suit to recover tax in the case of a deficiency assessment is three years after the assessment has been made.
Is there a time limitation for filing suit to recover tax when no return was filed?,there will be no limit to file suit for the collection of taxes,"No, there is no time limitation for filing suit to recover tax when no return was filed."
Is there a time limitation for filing suit to recover tax when the return is fraudulent?,there is no limitation,"No, there is no time limitation for filing suit to recover tax when the return is fraudulent."
What is the time limitation for filing suit to recover tax when there is an understatement of tax liability of 25% or more?,six ( 6 ) years,The time limitation for filing suit to recover tax when there is an understatement of tax liability of 25% or more (and not due to fraud) is six years.
What is the penalty rate for non-payment of the Institution and Service Privilege Tax?,one - half of one percent ( 0. 5 %,The penalty rate for non-payment of the Institution and Service Privilege Tax is one-half of one percent (0.5%) per month or fraction of a month.
What is the interest rate for non-payment of the Institution and Service Privilege Tax?,,The interest rate for non-payment of the Institution and Service Privilege Tax is one percent (1%) per month or fraction of a month.
What is the fine for willfully making a false statement on a tax return?,not more than five hundred dollars,The fine for willfully making a false statement on a tax return is not more than five hundred dollars ($500) or imprisonment for not more than thirty days.
What is the fine for willfully failing to appear before the Treasurer with books and records?,five hundred dollars ( $ 500 ) or to a term of imprisonment of not more than six 2,The fine for willfully failing to appear before the Treasurer with books and records is not more than five hundred dollars ($500) or imprisonment for not more than thirty days.
What is the fine for willfully failing to file a required tax return?,"what is the fine for willfully failing to file a required tax return? 5. fail to make any payment when it is due. b. pursuant to the local tax enabling act, 53 p. s. 6924. 303 ( i ), in addition to any other penalties or enforcement proceedings provided for by ordinance for the collection and enforcement of taxes : 1. any employer who willfully makes any false or untrue statement on the employer ’ s return shall be guilty of a misdemeanor of the second degree and shall, upon conviction, be sentenced to pay a fine of not more than two thousand dollars ( $ 2, 000 ) or to a term of imprisonment of not more than two years, or both ; 2. any employer who willfully fails or refuses to file a return required by this c hapter shall be guilty of a misdemeanor of the third degree and shall, upon conviction, be sentenced to pay a fine of not more than one thousand dollars ( $ 1, 000 ) or to a term - 15 - of imprisonment of not more than one year, or both ; and 3. ( c ) whoever willfully fails or refuses to file a return required by the instit ution and service privilege tax ordinance, shall, upon summary conviction thereof, be sentenced to pay a fine of not more than five hundred dollars",The fine for willfully failing to file a required tax return is not more than five hundred dollars ($500) or imprisonment for not more than thirty days.
Are tax remedies provided by the City of Pittsburgh mutually exclusive?,the tax is not imposed on exempt institutions,"No, tax remedies provided by the City of Pittsburgh are not mutually exclusive, and utilizing one remedy does not preclude the use of others."
What happens when a taxpayer fails to request a Treasurer's Hearing within the specified time period?,waives the right to contest any element of the assessment,"When a taxpayer fails to request a Treasurer's Hearing within the specified time period, they waive the right to contest any element of the assessment, which is construed as an admission to the propriety of the assessment."
What is the time limit for requesting a refund after payment of the tax?,three ( 3 ) years of the due date for fi ling the return or one ( 1 ) year,"The time limit for requesting a refund after payment of the tax is three years of the due date for filing the report or one year after actual payment of the tax, whichever is later."
What is the time limit for requesting a refund for amounts paid as a result of a notice of underpayment?,one ( 1 ) year,The time limit for requesting a refund for amounts paid as a result of a notice of underpayment is one year from the date of payment.
How long does the Treasurer have to sue for recovery of an erroneous refund induced by fraud?,two ( 2 ) years,The Treasurer has five years to sue for recovery of an erroneous refund induced by fraud or misrepresentation of material fact.
What actions can the Treasurer take to enforce tax claims in Pittsburgh?,"obtaining additional information, auditing taxpayer records, entering into a settlement of the disputed amount of the tax, or obtaining liens on the taxpayer ’ s property, wage attachmen ts, levies, and seizures and sales of the taxpayer ’ s property in appropriate circumstances. the treasurer may enter into a written agreement with the taxpayer for payment of the tax in installments if the treasurer believes that such an agreement will faci litate collection. the treasurer may also impose interest and applicable penalties on the tax due, and may seek criminal charges in appropriate circumstances. see, local tax enabling act, 53 p. s. § 6924. 702. once it has been determined that that a taxpayer owes a tax, the treasurer will take all actions legally permitted to enforce its claim. such action may include obtaining additional information, auditing taxpayer records, entering into a settlement of the disputed amount of the tax, or obtaining liens on the taxpayer ’ s property, wage attachments, levies, and seizures and sales of the taxpayer ’ s property in appropriate circumstances","The Treasurer can obtain additional information, audit taxpayer records, enter into settlements, obtain liens on property, implement wage attachments, levy and seize property, enter into installment payment plans, impose interest and penalties, and seek criminal charges in appropriate circumstances."
What recourse does a taxpayer have if they disagree with a tax assessment?,reason or reasons,A taxpayer who disagrees with a tax assessment can request a Treasurer's Hearing within ninety (90) days after the date of notice of the assessment by submitting a written petition for reassessment.
How can a taxpayer who has ceased operations during a tax year receive a refund?,file a written request with the department of finance for a refund or a credit of the tax,A taxpayer who ceases operations during a tax year can receive a refund by making a proper application to the Treasurer to obtain a prorated refund of the tax paid based on the period of time they were not in service during the tax year.
How is a tax refund calculated for a business that discontinues service during a tax year?,,The refund for a business that discontinues service during a tax year is calculated by multiplying its gross receipts for the preceding full calendar year by a fraction whose numerator is the number of months the business was in service during the tax year and whose denominator is 12.
What is the purpose of the severability clause in Pittsburgh's tax regulations?,,"The severability clause ensures that if any provision of the tax regulations is found to be illegal or unconstitutional by a court, the other provisions remain in full force and effect, preserving the remainder of the tax structure."
What is the Local Services Tax (LST) in Pittsburgh?,a weekly tax of $ 1 per employee,"The Local Services Tax (LST) is a tax on individuals for the privilege of engaging in an occupation, levied on the person's primary place of employment."
What are the three purposes for which the Local Services Tax funds can be used?,,"The Local Services Tax funds can be used for: (1) Police, Fire, and/or Emergency services; (2) road construction and/or maintenance; or (3) reduction of property taxes."
What is the annual amount of the Local Services Tax in Pittsburgh?,"what is the annual amount of the local services tax in pittsburgh? miscellaneous revenues include american rescue plan transfers, proceeds from the sale of public property, and scrap metal. city of pittsburgh operating budget fiscal year 2024 revenue four major tax revenues comprise 58 % of the 2024 budget 21. 3 % earned income tax 19. 1 % payroll preparation tax four main non - tax revenues comprise 15 % of the 2024 budget 84. 7 % intergovernmental 5. 9 % charges for services 5. 8 % licenses & permits 2. 4 % city of pittsburgh operating budget fiscal year 2024 revenue 41 - tax revenue $ 541, 835, 678 $ 554, 840, 720 $ 568, 023, 571 $ 581, 881, 122 $ 594, 304, 580 41101 - real estate - current year 149, 899, 507 151, 384, 288 152, 884, 374 154, 399, 929 155, 931, 118 41105 - real estate - prior year 1, 745, 830 1, 271, 546 936, 521 697, 283 524, 622 41108 - p / i - real estate taxes 192, 041 139, 870 103, 017 76, 701 57, 708 41201",The annual amount of the Local Services Tax in Pittsburgh is $52.
How is the Local Services Tax prorated for payroll periods?,by dividing the rate of the local services tax levied for the calendar year by the number of payroll periods established by the employer for the calendar year,"The Local Services Tax is prorated by dividing the annual tax ($52) by the number of payroll periods established by the employer for the calendar year (for example, $52/26 pay periods equals $2 per pay)."
Who is responsible for collecting the Local Services Tax?,the director holds principal responsibility for tax administration in the city. the deputy director of finance,"Employers are responsible for collecting the Local Services Tax from all employees engaged in an occupation within the City, unless the employee files an exemption certificate."
When are employers required to remit the Local Services Tax to the City?,within thirty ( 30 ) days after the end of each quarter of a calendar year,Employers are required to remit the Local Services Tax to the City within thirty (30) days after the end of each quarter of a calendar year.
What is the income threshold for exemption from the Local Services Tax?,,"The income threshold for exemption from the Local Services Tax is less than $12,000 in earned income and net profits from all sources within the City for the calendar year."
What documentation must an employee provide when filing for a low-income exemption from the LST?,,"When filing for a low-income exemption, an employee must attach a copy of all last pay stubs or W-2 forms from employment within the City for the year prior to the calendar year for which the exemption is sought."
Which veterans are exempt from paying the Local Services Tax?,disabled,"Veterans who are blind, paraplegic, double or quadruple amputees, or have a 100% permanent service-connected disability as a result of military service and who were honorably discharged are exempt from the Local Services Tax."
What military personnel are exempt from the Local Services Tax?,"honorably discha rged veterans who served in any war or armed conflict who are blind, paraplegic, or a double or quadruple amputee as a result of military service or who are 100 % disabled from a service - connected disability",Members of a reserve component of the armed forces who are called to active duty at any time during the taxable year are exempt from the Local Services Tax.
"What happens if an employee who filed an exemption certificate later exceeds the $12,000 income threshold?","he will earn $ 12, 000 because he is working more hours than anticipated","If an employee who filed an exemption certificate later exceeds the $12,000 income threshold, the employer must withhold a ""catch-up"" lump sum equal to the amount of tax that was not withheld, plus the regular withholding for remaining pay periods."
How should an employer handle LST collection if an employee has multiple jobs?,,"If an employee has multiple jobs, they should provide their principal employer with an exemption certificate and provide other employers with a pay stub from their principal employer along with a statement that it is from their principal employment."
What determines which municipality has priority to collect LST when a person is employed in multiple municipalities?,where the taxpayer maintains his principal office or is principally employed,"The municipality where a person is principally employed has priority to collect the LST. If this cannot be determined, then the municipality where the taxpayer resides and works has priority, followed by the municipality that is nearest in miles to the taxpayer's home."
What information must employers provide with their fourth quarter LST payment?,,"Employers must provide a summary with the fourth quarter LST payment listing the employer's name, address, Federal ID number, and for each employee: name, Social Security number, wages, address, and amount of LST withheld and paid to Pittsburgh for the calendar year."
What is the penalty for employers who fail to remit the LST by the due date?,"pay a fine of not more than one thousand dollars ( $ 1, 000 ) or to a term - 15 - of imprisonment of not more than one year, or both","The penalty for employers who fail to remit the LST by the due date is 5% for every month or fraction thereof that the tax remains unpaid, with a maximum penalty of 50%."
What is the interest rate charged on unpaid LST?,,The interest rate charged on unpaid LST is 12% per annum on the amount of tax unpaid for each month or fraction of a month.
Who is liable if an employer fails to withhold the LST?,employers are relieved of liability for the tax if they fail to withhold the tax due to incorrect information provided by the taxpayer,"If an employer fails to withhold the LST, both the employer and employee remain liable for the tax. The employer is personally liable for payment of the tax they failed to withhold or transmit, plus interest and penalties."
How long must employers keep LST records?,,"Employers must keep LST records, including exemption certificates, for a period of not less than three (3) years from the filing date or due date, whichever is later."
What is the time limitation for suits to recover unpaid taxes where a return was filed but no tax paid?,three ( 3 ) years,"The time limitation for suits to recover unpaid taxes where a return was filed but no tax paid is three (3) years after the return was due or filed, whichever is later."
What is the time limitation for suits in the case of a deficiency assessment?,three ( 3 ) years,The time limitation for suits in the case of a deficiency assessment is three (3) years after the assessment has been made.
Is there a time limitation for tax collection suits when no return was filed?,there shall be no limit to file suit for the collection of taxes,"No, there is no time limitation for tax collection suits when no return was filed."
Is there a time limitation for tax collection suits when a fraudulent return was filed?,there is no limitation. 3,"No, there is no time limitation for tax collection suits when a fraudulent return was filed."
What is the time limitation for tax collection suits when there is a tax liability understatement of 25% or more?,twenty - five percent,The time limitation for tax collection suits when there is a tax liability understatement of 25% or more (not due to fraud) is six (6) years.
What is the maximum penalty that can be applied for non-payment of the LST?,,The maximum penalty that can be applied for non-payment of the LST is 50% of the tax due.
What is the interest rate charged for non-payment of the LST?,"$ 20, 000",The interest rate charged for non-payment of the LST is 12% per annum on the amount of tax.
Is good faith a valid defense for the imposition of tax penalties?,,"No, good faith is not a valid defense for the imposition of tax penalties."
What is the maximum fine for a person adjudged in violation of applicable provisions of the Pittsburgh Code regarding the LST?,,"The maximum fine for a person adjudged in violation of applicable provisions of the Pittsburgh Code regarding the LST is five hundred dollars ($500) and costs for each offense, with possible imprisonment of not more than fifty (50) days for non-payment."
"What is the definition of ""Compensation"" for LST purposes?","any salaries, wages, commissions, tips, bonuses, fees, including net profits from a business for individuals, partnerships and any other unincorporated taxpayers","""Compensation"" for LST purposes includes any salaries, wages, commissions, tips, bonuses, fees, including net profits from a business for individuals, partnerships, and any other unincorporated taxpayers."
"What is the definition of ""Occupation"" for LST purposes?","any livelihood, job, trade, profession, business or enterprise","""Occupation"" is defined as any livelihood, job, trade, profession, business, or enterprise of any kind for which compensation is received, and a person may have more than one occupation."
Are partners in unincorporated associations considered employees for LST purposes?,a partner or self - employed person is not an employee,"Yes, for purposes of the LST, sole proprietors and partners in unincorporated associations are deemed to be employees."
What is the filing deadline for the first quarter LST return?,february 28,The filing deadline for the first quarter LST return is April 30 (covering January 1 through March 31).
What is the filing deadline for the second quarter LST return?,,The filing deadline for the second quarter LST return is July 31 (covering April 1 through June 30).
What is the filing deadline for the third quarter LST return?,july 1 thru september 30,The filing deadline for the third quarter LST return is October 31 (covering July 1 through September 30).
What is the filing deadline for the fourth quarter LST return?,12,The filing deadline for the fourth quarter LST return is January 31 (covering October 1 through December 31).
What information must an employer include on an employee's pay stub regarding the LST?,how much was withheld and list the municipality it was paid to,"On an employee's pay stub, the employer must list how much LST was withheld and list the municipality it was paid to (using ""PGH"" for Pittsburgh)."
How should employers handle employees who present receipts showing prior payment of the LST?,employers must “ rest art ” withholding the lst from an employee who files an exemption certificate,Employers should not deduct the LST from employees who present official receipts evidencing prior payment of the tax but must maintain adequate records concerning these employees.
"When must an employer ""restart"" withholding the LST from an employee who filed an exemption certificate?",“ catch - up ” lump sum equal to the amount of tax that was not withheld from the employee as a result of the exemption,"An employer must ""restart"" withholding the LST if instructed by the City, if notified by the employee that they are no longer eligible for exemption, or if the employer pays the employee $12,000 or more for the calendar year."
"How should an employer ""restart"" withholding the LST if an employee exceeds the $12,000 threshold?",by withholding ( 1 ) a “ catch - up ” lump sum equal to the amount of tax that was not withheld from the employee as a result of the exemption,"To ""restart"" withholding, the employer should withhold a ""catch-up"" lump sum equal to the amount of tax not withheld due to the exemption, plus the same amount per payroll period that is withheld from other employees."
What happens if a self-employed person works in Pittsburgh?,"self - employed – an individual who earns compensation from one or more separate business es carried on within the city, other than as an employee or as a partner. the single member owner of a n unincorporated entity that is treated as disregarded entity under the federal “ check - the - box ” regulations, 26 c. f. r. § 301. 7701 - 3 ( as it was in effect on january 1, 2020 ), is treated as self - employed and not as a partner. the compensation of a self - employ ed individual shall be that person ’ s taxable distributions from each separate business reported on schedules c, e, or f of the pennsylvania individual income tax form pa - 40, as well as any other non - employee compensation, which is not otherwise reported on schedules c, e, or f. passive income of a self - employed person is not subject to the payroll tax","Self-employed persons working in Pittsburgh are subject to the $52 LST, which should be prorated and paid quarterly."
What is the procedure for direct LST payment by taxpayers who are self-employed or didn't have the tax withheld?,$ 52 lst. the tax may be prorated and paid quarterly,"Self-employed taxpayers or those who didn't have the tax withheld should file an LS-3 form and pay the $52 tax directly to the Treasurer, prorated and paid quarterly within 30 days after the end of each quarter."
How long does a taxpayer have to respond to written requests for information from the City?,30 days,"A taxpayer has 30 days from the mailing date to respond to written requests for information from the City or its agents, unless an extension of time is granted."
"Is information gained from tax declarations, returns, and investigations confidential?",confidential,"Yes, information gained from tax declarations, returns, and investigations is confidential except for official purposes and shall not be released except in accordance with a proper judicial order or as otherwise provided by law."
What happens if an audit reveals that a taxpayer has incorrectly reported their tax liability?,,"If an audit reveals incorrect tax reporting, the Treasurer is authorized to assess and collect any underpayments of the tax, with deficiency assessments including taxes for three years prior to the assessment date."
What is the deficiency assessment period for a taxpayer who filed a return in good faith?,three ( 3 ) years prior to the date when the deficiency is assess ed,The deficiency assessment period for a taxpayer who filed a return in good faith is three (3) years prior to the date when the deficiency is assessed.
How do severability provisions impact tax regulations if a court finds a provision to be unconstitutional?,,"If a court finds a provision of the tax regulations to be unconstitutional, the severability provisions ensure that only the specific unconstitutional provision is invalidated while all other provisions remain in full force and effect."
What is the current rate of the Parking Tax in Pittsburgh?,37. 5 percent,"The current rate of the Parking Tax in Pittsburgh is thirty-seven and one-half (37.5) percent for all transactions occurring on or after January 1, 2009."
What law establishes the ceiling or maximum rate for Pittsburgh's Parking Tax?,municipal pension plan funding standard and recovery act,"The Municipal Pension Plan Funding Standard and Recovery Act, 53 P.S. § 895.902(a), establishes the ceiling or maximum rate for Pittsburgh's Parking Tax."
"What does the term ""Consideration"" mean in Pittsburgh's Parking Tax regulations?","the payment or compensation of any nature, received by the operator from or on behalf of the patron, upon an express or implied contract or under a lease or otherwise, whether or not separately stated, and whether paid in cash or credited to an account","""Consideration"" means the payment or compensation of any nature received by the operator from or on behalf of the patron, upon an express or implied contract or under a lease or otherwise, whether or not separately stated, for each transaction involving the parking or storing of a vehicle. It does not include the tax imposed and collected under Chapter 253."
"What does the term ""Non-residential Parking Place"" mean in Pittsburgh's Parking Tax regulations?",imposes a tax for general revenue purposes,"A ""Non-residential Parking Place"" is any place within the City, whether wholly or partially enclosed or open, at which vehicles are parked or stored for any period of time in return for a consideration."
"What types of parking areas are excluded from the definition of ""Non-residential Parking Place""?",,"Excluded from the definition of ""Non-residential Parking Place"" are public streets, parking areas provided to residents for use in connection with occupancy of a dwelling unit, and parking areas operated exclusively by owners or lessees of hotels, apartment hotels, tourist courts, or trailer parks for their guests or tenants with no consideration charged."
"Who is considered an ""Operator"" under Pittsburgh's Parking Tax regulations?",provider,"An ""Operator"" is any person conducting the operation of a parking place or receiving consideration for parking or storage of vehicles, including governmental bodies, non-profit corporations, or agents of these entities, as well as those leasing land where vehicles are parked and consideration is received."
"Who is considered a ""Patron"" under Pittsburgh's Parking Tax regulations?","any person entering into a transaction to park or store a motor vehicle at a non - residential parking place for any period of time for consideration, excluding any transaction involving exempt valet parking services","A ""Patron"" is any person entering into a transaction to park or store a motor vehicle at a non-residential parking place for any period of time for consideration, excluding any transaction involving Exempt Valet Parking Services."
What is the difference between Exempt Valet Parking Services and Taxable Valet Parking Services?,less than the prevailing parking rate,"Exempt Valet Parking Services are those where a valet takes temporary custody of vehicles for patrons of a single business establishment, parks them in a facility owned or leased exclusively by that establishment, and charges less than prevailing parking rates. Taxable Valet Parking Services are those that don't meet these exemption criteria."
"What conditions must be met for valet parking services to be considered ""Exempt""?",any parking services provided to a patron that do not meet the definition of exempt valet parking services shall be considered taxable valet parking services,"For valet parking services to be considered ""Exempt,"" they must: serve patrons of a single business establishment, use a parking facility owned or leased exclusively by that establishment, be open only during the establishment's operating hours exclusively for its patrons, and charge less than the prevailing parking rate for comparable public lots in the area."
What registration requirements apply to operators who begin a non-residential parking place?,annual license § 201. registration,"Operators who begin a non-residential parking place must file with the Treasurer a completed registration form before commencing operation, providing their name, address, business location, identity of the property owner, records of tickets, leases, and contracts to be used."
What license is required to operate a non-residential parking place in Pittsburgh?,,"An annual license from the Superintendent of the Bureau of Building Inspection is required for each individual parking place in accordance with Title Two, Article VII, Section 253.03 of the Code."
Is a parking license transferable between operators or locations?,licenses are not transferable,"No, parking licenses are not transferable between operators nor can they be transferred from one parking place to another."
How is the Parking Tax calculated in Pittsburgh?,at the rate set by ordinance on the consideration for each transaction,The Parking Tax is calculated at the rate of 37.5% of the consideration paid for each parking transaction.
What is the simplified calculation method for computing the Parking Tax?,calculation of tax,"The simplified calculation method presumes that gross collections include both total consideration and collected parking tax, with the applicable tax rate being 27.273% times gross collections."
How is the total payment calculated when a surcharge is imposed on parking fees?,"the following method shall be used to compute the total payment collected by the operator and paid by the patron when a surcharge is imposed, whether the tax total is taken from individual cash register tapes or where individual collections are not kept for each ticket","When a surcharge is imposed, the total payment is calculated as: (Base Fee + Surcharge) + Tax Rate(Base Fee + Surcharge) = Total Payment. The parking tax is applied to the sum of the base parking fee and the surcharge."
Who is responsible for collecting the Parking Tax from patrons?,the treasurer,Operators are responsible for collecting the Parking Tax from patrons and paying it to the Treasurer as set forth in Chapter 253 of the Pittsburgh Code.
What trust relationship is created when an operator collects Parking Tax?,"a tax for general revenue purposes is imposed upon each patron entering into a parking transaction, at the specified rate of the consideration for each such transaction, which tax shall be collected by the operator from the patron","All taxes collected by operators constitute a trust fund for the benefit of the City, enforceable against the operator and anyone receiving part of the fund without consideration or with knowledge that the operator is committing a breach of trust."
What is the liability of an operator who fails to collect the required Parking Tax?,negligently or willfully,An operator who fails to collect the tax from a patron is personally liable for the tax upon the full consideration received from the patron.
When must operators file returns for the Parking Tax?,fifteenth day of each month,"Operators must file returns by the fifteenth day of each month for the preceding month, showing consideration received and tax due and collected for each parking place."
Must separate returns be filed for each parking location operated by the same operator?,any operator with more than one parking place shall file a separate return for each individual parking place,"Yes, operators with more than one parking place must file a separate return for each individual parking place."
What information must be included on Parking Tax returns?,total consideration received for each category of parking,"Returns must include total consideration received for each category of parking (hourly, daily, evening, event, weekly, monthly, lease, prepaid), beginning and ending ticket numbers and serial numbers for leases, and the amount of tax due."
How must operators handle missing or unaccounted-for parking tickets?,must report on a form prescribed by the treasurer,Operators must report missing or unaccounted-for tickets on a form prescribed by the Treasurer and pay a fee equal to the maximum daily rate for each missing ticket by the fifteenth day of the subsequent month.
What documentation is required for adjustments to previously filed Parking Tax returns?,"a full, detailed explanation showing the adjusted amounts","Adjustments must include a full, detailed explanation showing the adjusted amounts, reason for adjustment, category of parking, period when collections were originally reported, and clear indication of any tax collected and refunded to the patron. An amended return may be required."
Where must Parking Tax returns be filed?,"department of finance, parking tax division","Parking Tax returns must be filed with the Treasurer, City Department of Finance, 414 Grant St Rm 206, Pittsburgh PA 15219."
Who must sign a Parking Tax return?,"any operator with more than one parking place shall file a separate return for each individual parking place. at the time of filing the return, the operator shall pay to the treasurer","For individual operators, they must personally sign the return; for partnerships or associations, one general partner or member must sign; for corporations, an officer authorized to file tax returns must sign."
What happens if a return does not comply with all requirements?,conditional,A return that doesn't comply with all requirements will be considered a non-compliance violation and deemed incomplete.
By what date must Parking Tax payments be made?,fifteenth day of each month,Parking Tax payments must be made by the fifteenth day of each month for the preceding month's transactions.
Does the Treasurer's acceptance of a tax return constitute final acceptance of its accuracy?,does not,"No, acceptance of the return and/or negotiation of payment doesn't constitute final acceptance of accuracy or completeness. The Treasurer reserves the right to make corrections, request additional information, or treat any filing or payment as a partial disposition of liability."
What general record-keeping requirements apply to parking operators?,complete and accurate records of all transactions,"Operators must maintain complete and accurate records of all transactions, showing consideration received and tax collected, including license information, vehicle capacity, rates, ticket records, lease records, meter records, exemptions, and facility drawings."
What types of evidence of parking transactions must be displayed on vehicles?,manually issued tickets,"Every vehicle in a parking place must display evidence of the parking transaction, such as tickets, lease permits, or meter receipts, except in certain specified circumstances."
What requirements apply to manually issued parking tickets?,"tickets must be numbered, dated, and issued in serial number sequence","Manually issued tickets must be numbered, dated, and issued in serial number sequence. Separate sets of tickets must be used for different locations and for flat rate parking. Written authorization is required to change numerical sequences."
What are the requirements for mechanically issued parking tickets?,"tickets must be numbered, dated, and issued in serial number sequence","For mechanically issued tickets where rates are time-based, tickets must show date and time of entry, be issued in serial number sequence, include a portion retained by the operator, have synchronized ejectors, and use counting devices that register every vehicle without exception."
