question,output,correct_answer
What is the current rate of Pittsburgh's Payroll Tax?,.55% or .0055) of Payroll Expense,The current rate of Pittsburgh's Payroll Tax is fifty-five hundredths of a percent (.55% or .0055) of Payroll Expense.
How often must the Payroll Tax be paid?,within fifteen (15) days after discontinuing business or ceasing operation,The Payroll Tax must be paid quarterly.
How is Payroll Tax apportioned for employees who work partly within and partly outside Pittsburgh?,the method of computing their payroll expense attributable to the City of Pittsburgh,"For employees who work partly within and partly outside Pittsburgh, Payroll Tax is apportioned using the percentage of total working hours employed within Pittsburgh compared to total working hours employed both within and outside Pittsburgh."
How is Payroll Tax apportioned for Partners and Self-Employed individuals?,Employers are required to round down to the nearest one -hundredth of a dollar,"Partners and Self-Employed individuals apportion Payroll Tax by reporting on Taxable Distributions associated with sales or services rendered within Pittsburgh, using an apportionment formula if determining the exact amounts is impractical."
When is the first quarterly Payroll Tax return due and what period does it cover?,"January, February, and March of the prior calendar year","The first quarterly Payroll Tax return is due May 31, covering the Payroll Expense during January, February, and March of the current year."
When is the second quarterly Payroll Tax return due and what period does it cover?,"d. Any employer, who discontinues business or ceases operation before December 31 of the current tax year, shall within fifteen (15)","The second quarterly Payroll Tax return is due August 31, covering the Payroll Expense during April, May, and June of the current year."
When is the third quarterly Payroll Tax return due and what period does it cover?,October 1 thru December 31 (due January 31) d,"The third quarterly Payroll Tax return is due November 30, covering the Payroll Expense during July, August, and September of the current year."
When is the fourth quarterly Payroll Tax return due and what period does it cover?,"February 28 of the succeeding year, shall be filed","The fourth quarterly Payroll Tax return is due February 28 of the succeeding year, covering the Payroll Expense during October, November, and December of the current year."
What is the deadline for filing a Payroll Tax return for businesses that discontinue operations?,ten (10) days after the discontinuation of Business,Businesses that discontinue operations must file their Payroll Tax return within 10 days after discontinuing business or ceasing operation.
What is the interest rate charged on unpaid Payroll Tax?,-14- SECTION 504 – PENALTY AND INTEREST a. If for any reason the Payroll Tax is not paid when due,The interest rate charged on unpaid Payroll Tax is six percent (6%) per annum.
What is the penalty percentage for unpaid Payroll Tax?,c apped at 50%. Interest at the rate of twelve percent (12%) per annum,The penalty for unpaid Payroll Tax is one percent (1%) of the amount of unpaid tax for each month or fraction thereof during which the tax remains unpaid.
How long must taxpayers keep records related to the Payroll Tax?,a period of not less than five (5) years from the filing date or due date,"Taxpayers must keep records related to the Payroll Tax for a period of not less than three (3) years from the filing date or due date, whichever is later."
What is the time limitation for deficiency assessments when a return has been filed?,b. The limitations set forth in paragraph (a) shall not prevent the institution of a suit for the collection of any tax due or determined to be due,The time limitation for deficiency assessments when a return has been filed is three (3) years prior to the date when the deficiency is assessed.
What is the time limitation for tax collection suits when a return has been filed but no tax paid?,"SUITS FOR COLLECTION, PENALTIES, ETC. Section 501","When a return has been filed but no tax paid, any suit for tax collection must be filed within three (3) years after the return was due or filed, whichever is later."
What is the time limitation for tax collection suits when there is an understatement of tax liability of 25% or more?,SECTION 503 - LIMITATIONS a.,"When there is an understatement of tax liability of 25% or more, and not due to fraud, a tax collection suit must be filed within six (6) years."
Is there a time limitation for tax collection suits when no return was filed?,"SUITS FOR COLLECTION, PENALTIES, ETC. Section 501","No, there is no time limitation for tax collection suits when no return was filed."
Is there a time limitation for tax collection suits when a fraudulent return was filed?,"2. 21 3. When there is an understatement of tax liability of twenty -five (25%) or more, and not due to fraud, suit must be begun within six (6) years.","No, there is no time limitation for tax collection suits when a fraudulent return was filed."
How many calendar days does a taxpayer have to respond to audit notices?,d. A Taxpayer shall have at least thirty (30) calendar days,A taxpayer has thirty (30) calendar days to respond to audit notices.
What defense is not valid for the imposition of tax penalties according to Pittsburgh tax regulations?,d. Good faith shall not be a defense,Good faith is not a valid defense to the imposition of tax penalties according to Pittsburgh tax regulations.
When does penalty and interest become part of the tax in Pittsburgh?,the period in which the tax remains unpaid,"Penalty and interest become part of the tax once they are due and owing, and shall be collected as such."
Can the Treasurer enter into an installment payment plan with a taxpayer for tax deficiencies?,if suc h a plan is in the best interests of the City,"Yes, the Treasurer may enter into an installment payment plan with a taxpayer for tax deficiencies if such a plan is in the best interests of the City."
What document can be requested in writing from the Treasurer that explains taxpayer rights?,A copy of the Taxpayer Bill of Rights,The Taxpayer Bill of Rights can be requested in writing from the Treasurer or downloaded from the City's website.
How many days does a taxpayer have to appeal a Treasurer's decision to the Court of Common Pleas?,thirty (30) days after receipt of the notice of such decision,A taxpayer has thirty (30) days from the date of notice of the Treasurer's decision to appeal to the Court of Common Pleas.
What is the Institution and Service Privilege Tax in Pittsburgh?,the privilege of conducting or operating a service or service institution in the City of Pittsburgh,"The Institution and Service Privilege Tax is a tax imposed upon the privilege of conducting or operating a service or service institution in the City of Pittsburgh, as measured by gross receipts derived from service transactions."
What is the rate of the Institution and Service Privilege Tax in Pittsburgh?,six mills as measured by gross receipts derived from all service transactions,"The rate of the Institution and Service Privilege Tax is six mills (6/10 of 1% or $6.00 per $1,000) on each dollar of annual receipts."
Is there a different tax rate for restaurants under the Institution and Service Privilege Tax?,"six mills equals $6.00 per $1,000 or 6/10 of 1%","Yes, the tax rate for proprietors of restaurants and other places where food, drink, and refreshments are served is limited to two mills (2/10 of 1% or $2.00 per $1,000) on each dollar of annual receipts."
What authority allowed Pittsburgh to enact the Institution and Service Privilege Tax?,"City Code, Title II, Article I, Chapter 201.04, the Treasurer of the City of Pittsburgh","The Institution and Service Privilege Tax was enacted under the authority of the Local Tax Enabling Act, 53 P.S. § 6924.101."
"What types of entities are considered ""Exempt Institutions"" under the Institution and Service Privilege Tax?",corporations organized under an Act of Congress which are instrumentalities of the United States,"Exempt Institutions include federal government instrumentalities, government entities, elementary and secondary schools, institutions of purely public charity, insurance companies, regulated utilities, voluntary employee beneficiary associations, qualified pension plans, regulated financial institutions, and certain tax-exempt organizations."
Are insurance companies subject to the Institution and Service Privilege Tax?,"Yes, all forms of government third -party payments , income or grants for Service","No, insurance companies regulated by the Pennsylvania Insurance Department are exempt from the Institution and Service Privilege Tax."
Are utilities regulated by the Pennsylvania Utility Commission exempt from the Institution and Service Privilege Tax?,b) “Exempt Institutions”,"Yes, utilities regulated by the Pennsylvania Utility Commission are exempt from the Institution and Service Privilege Tax."
"What is included in ""Gross Receipts"" under the Institution and Service Privilege Tax?",payments from insurance or other third-party paym ents for the cost of S ervice,"Gross Receipts include cash, credits, property received from any Institution for services rendered in the City, payments from insurance or third-party payers, payments for services to affiliates, and payments from government programs like Medicare and Medicaid."
"Are membership fees included in ""Gross Receipts"" under the Institution and Service Privilege Tax?","(6)Donations, dues, and receipts associated with religious services received by religious organizations","No, membership fees, dues, and assessments that fall equally upon all members are excluded from Gross Receipts, but individual charges for services to members are subject to tax."
"Are donations to religious organizations included in ""Gross Receipts""?","Non -religious activities of religious organizations, i.e. bingo, bazaars, etc.","No, donations and receipts associated with religious services received by religious organizations are excluded from Gross Receipts."
"What types of organizations are considered ""Persons"" under the Institution and Service Privilege Tax?",b) “Exempt Institutions”,"Persons include foundations, partnerships, corporations, charitable trusts, limited liability companies, and unincorporated associations operating under a non-profit charter, particularly those exempt under various subsections of 26 U.S.C. § 501(c)."
Are natural persons subject to the Institution and Service Privilege Tax?,(a) Whether or not a person carries,"No, natural persons are not subject to the Institution and Service Privilege Tax as they are specifically excluded from the definition of ""Person."""
"What is considered a ""Service"" under the Institution and Service Privilege Tax?","any person, organization, foundation, corporation or unincorporated associat ion","A Service is defined as carrying on or exercising within Pittsburgh any medical, educational, beneficial, social, recreational, vocational or other type of service for which a charge is made, as a non-profit entity, but does not include the sale or rental of personal property."
"What entities are considered ""Taxable Institutions"" under these regulations?","(b) ""Exempt Institutions""","Taxable Institutions include any person, organization, foundation, corporation, or unincorporated association operating under a non-profit charter, such as hospitals, nursing homes, colleges, universities, non-elementary/secondary schools, cemeteries, veterans organizations, recreational centers, and fundraising organizations."
When is the Institution and Service Privilege Tax return due?,within forty days from the date of commencing such service,The Institution and Service Privilege Tax return is due on April 15th of every year.
What is the tax year for the Institution and Service Privilege Tax?,"2024, an estimated 16.8 percent decrease over the prior year",The tax year for the Institution and Service Privilege Tax is the twelve-month period from January 1 to December 31.
Who must sign the tax return if the taxpayer is a corporation?,the officer of the corporation authorized to file tax returns,"If the taxpayer is a corporation or unincorporated entity, a Director, President, Trustee, or Officer may sign the tax return."
How is the tax calculated for taxpayers who were not in service during the whole preceding calendar year?,the amount of service transacted by the Taxpayer or Institution,"For taxpayers not in service during the whole preceding calendar year, the tax is computed on gross receipts for the portion of the year they were in business."
How is the tax calculated for taxpayers who commence service during the current tax year?,multiplying its gross receipts for the preceding full calendar year by a fraction,"For taxpayers commencing service during the current tax year, they must file a return within forty days from the date of commencing service, computing tax based on the first month's receipts."
"How is the tax calculated for taxpayers whose service is temporary, seasonal, or itinerant?",RATE OF TAX –$52,"For temporary, seasonal, or itinerant service providers, they must file a return within seven days from completion of the service, reporting actual gross volume of service during the tax period."
When must temporary or seasonal service providers file their tax returns?,"d. Any employer, who discontinues business or ceases operation before December 31 of the current tax year, shall within fifteen (15) days after the end of each quarter of a calendar year",Temporary or seasonal service providers must file their tax returns within seven days from the day they complete their service.
What information must be attached to the tax return to assist in the review of Taxable Gross Receipts?,The taxpayer’s account and/or social security number,A duplicate of any Form 990-T filed with the Internal Revenue Service for the period should be attached to the tax return to assist in review of Taxable Gross Receipts.
Are receipts from government bodies excluded from the tax base?,Receipts from sales made or Services rendered to all government bodies,"No, receipts from sales made or services rendered to government bodies, including authorities, are not excluded from the tax base, though Exempt Receipts and receipts of Exempt Institutions are excluded."
How are receipts from services associated with interstate commerce apportioned to Pittsburgh?,multiplying total receipts earned everywhere times the City Apportionment percentage,Receipts from services associated with interstate commerce are apportioned to Pittsburgh by multiplying total receipts earned everywhere by the City Apportionment percentage.
What is the City Apportionment percentage used for receipts associated with interstate commerce?,total receipts earned everywhere times the City Apportionment percentage,"The City Apportionment percentage is the sum of the Payroll Percentage factor, Property Percentage factor, and Sales Percentage factor, divided by three (or fewer if some factors are zero)."
What are the three factors used to calculate the City Apportionment percentage?,Total receipts earned everywhere times the City Apportionment percentage,"The three factors used to calculate the City Apportionment percentage are the Payroll Percentage factor, Property Percentage factor, and Sales Percentage factor."
How is the Payroll Percentage factor calculated?,a formula with which to calculate the percentage of payroll expense attributable to the City of Pittsburgh,The Payroll Percentage factor is calculated as payroll reported subject to City local earned income tax divided by total payroll reported on Federal Form 940.
How is the Property Percentage factor calculated?,The Property Percentage factor shall be the sum of tangible property located in the Cit,"The Property Percentage factor is calculated as the sum of tangible property located in the City divided by the sum of tangible property located everywhere in the United States, determined as of December 31."
How is the Sales Percentage factor calculated?,gross receipts from Services provided in the City,The Sales Percentage factor is calculated as gross receipts from Services provided in the City or offered from a City location divided by gross receipts everywhere.
When is a taxpayer considered to be engaged in interstate commerce?,"subject to tax in another jurisdiction , outside the Commonwealth",A taxpayer is engaged in interstate commerce if it is subject to tax in another jurisdiction outside Pennsylvania on its net income or gross receipts.
What is the time limitation for filing suit to recover tax due when a return has been filed but no tax paid?,SECTION 503 - LIMITATIONS a.,"The time limitation for filing suit to recover tax due when a return has been filed but no tax paid is three years after the return was due or filed, whichever is later."
What is the time limitation for filing suit to recover tax in the case of a deficiency assessment?,"1. When no return was filed, there is no limitation. 2.",The time limitation for filing suit to recover tax in the case of a deficiency assessment is three years after the assessment has been made.
Is there a time limitation for filing suit to recover tax when no return was filed?,SECTION 503 - LIMITATIONS a.,"No, there is no time limitation for filing suit to recover tax when no return was filed."
Is there a time limitation for filing suit to recover tax when the return is fraudulent?,"(3) When there is an understatement of tax liability of twenty -five (25%) or more, and not due to fraud","No, there is no time limitation for filing suit to recover tax when the return is fraudulent."
What is the time limitation for filing suit to recover tax when there is an understatement of tax liability of 25% or more?,"6 (6) years. 2. When there is an understatement of tax liability of twenty -five (25%) or more, and not due to fraud, suit must be begun within six",The time limitation for filing suit to recover tax when there is an understatement of tax liability of 25% or more (and not due to fraud) is six years.
What is the penalty rate for non-payment of the Institution and Service Privilege Tax?,c apped at 50%. Interest at the rate of twelve percent (12%) per annum on the amount of tax unpaid for each month or fraction of a month,The penalty rate for non-payment of the Institution and Service Privilege Tax is one-half of one percent (0.5%) per month or fraction of a month.
What is the interest rate for non-payment of the Institution and Service Privilege Tax?,6924.706. The penalty shall not exceed fifty percent (50%,The interest rate for non-payment of the Institution and Service Privilege Tax is one percent (1%) per month or fraction of a month.
What is the fine for willfully making a false statement on a tax return?,"b. Pursuant to the Local Tax Enabling Act, 53 P.S.6924.303(i), in addition to any other penalties or enforcement proceedings provided for by ordinance for the collection and enforcement of taxes",The fine for willfully making a false statement on a tax return is not more than five hundred dollars ($500) or imprisonment for not more than thirty days.
What is the fine for willfully failing to appear before the Treasurer with books and records?,"1. Any person who willfully fails or refuses to appear before the Treasurer or his/her agent in person with the employer’s books, records or accounts for examination when required under the provisions of Title Two of the City Code",The fine for willfully failing to appear before the Treasurer with books and records is not more than five hundred dollars ($500) or imprisonment for not more than thirty days.
What is the fine for willfully failing to file a required tax return?,a) Whoever willfully fails or refuses to appear before the Treasurer,The fine for willfully failing to file a required tax return is not more than five hundred dollars ($500) or imprisonment for not more than thirty days.
Are tax remedies provided by the City of Pittsburgh mutually exclusive?,a schedule shall be attached to the return showing the various locations at which the taxpayer conducts business in Pittsburgh,"No, tax remedies provided by the City of Pittsburgh are not mutually exclusive, and utilizing one remedy does not preclude the use of others."
What happens when a taxpayer fails to request a Treasurer's Hearing within the specified time period?,"The written petition for reassessment shall contain at minimum: (1) The taxpayer’s name, address, and daytime telephone number. SECTION 601 – STASURER’S HEARING","When a taxpayer fails to request a Treasurer's Hearing within the specified time period, they waive the right to contest any element of the assessment, which is construed as an admission to the propriety of the assessment."
What is the time limit for requesting a refund after payment of the tax?,a. A taxpayer who has overpaid the Local Services Tax,"The time limit for requesting a refund after payment of the tax is three years of the due date for filing the report or one year after actual payment of the tax, whichever is later."
What is the time limit for requesting a refund for amounts paid as a result of a notice of underpayment?,three (3) years of the due date for fi ling the return,The time limit for requesting a refund for amounts paid as a result of a notice of underpayment is one year from the date of payment.
How long does the Treasurer have to sue for recovery of an erroneous refund induced by fraud?,"two (2) years after making such refund, except that the suit may be brought within five (5) years",The Treasurer has five years to sue for recovery of an erroneous refund induced by fraud or misrepresentation of material fact.
What actions can the Treasurer take to enforce tax claims in Pittsburgh?,"obtaining additional information, auditing Taxpayer records, entering into a settlement of the disputed amount","The Treasurer can obtain additional information, audit taxpayer records, enter into settlements, obtain liens on property, implement wage attachments, levy and seize property, enter into installment payment plans, impose interest and penalties, and seek criminal charges in appropriate circumstances."
What recourse does a taxpayer have if they disagree with a tax assessment?,b. Penalty and Interest on Deficiency Assessment,A taxpayer who disagrees with a tax assessment can request a Treasurer's Hearing within ninety (90) days after the date of notice of the assessment by submitting a written petition for reassessment.
How can a taxpayer who has ceased operations during a tax year receive a refund?,filed a written request with the Department of Finance,A taxpayer who ceases operations during a tax year can receive a refund by making a proper application to the Treasurer to obtain a prorated refund of the tax paid based on the period of time they were not in service during the tax year.
How is a tax refund calculated for a business that discontinues service during a tax year?,multiplying its gross receipts for the preceding full calendar year by a fraction whos e numerator shall be the number of months,The refund for a business that discontinues service during a tax year is calculated by multiplying its gross receipts for the preceding full calendar year by a fraction whose numerator is the number of months the business was in service during the tax year and whose denominator is 12.
What is the purpose of the severability clause in Pittsburgh's tax regulations?,The intent of the Treasurer is that the provisions of these regulations shall be severable,"The severability clause ensures that if any provision of the tax regulations is found to be illegal or unconstitutional by a court, the other provisions remain in full force and effect, preserving the remainder of the tax structure."
What is the Local Services Tax (LST) in Pittsburgh?,"weekly tax of $1 per employee working within the City of Pittsburgh earning greater than $12,000 annually","The Local Services Tax (LST) is a tax on individuals for the privilege of engaging in an occupation, levied on the person's primary place of employment."
What are the three purposes for which the Local Services Tax funds can be used?,1. To respond to the COVID-19 public health emergency or its negative economic impacts,"The Local Services Tax funds can be used for: (1) Police, Fire, and/or Emergency services; (2) road construction and/or maintenance; or (3) reduction of property taxes."
What is the annual amount of the Local Services Tax in Pittsburgh?,41411 - Earned Income Tax,The annual amount of the Local Services Tax in Pittsburgh is $52.
How is the Local Services Tax prorated for payroll periods?,RATE OF TAX –$52,"The Local Services Tax is prorated by dividing the annual tax ($52) by the number of payroll periods established by the employer for the calendar year (for example, $52/26 pay periods equals $2 per pay)."
Who is responsible for collecting the Local Services Tax?,the Director and/or the Department of Finance,"Employers are responsible for collecting the Local Services Tax from all employees engaged in an occupation within the City, unless the employee files an exemption certificate."
When are employers required to remit the Local Services Tax to the City?,30) days after the end of each quarter of a calendar year,Employers are required to remit the Local Services Tax to the City within thirty (30) days after the end of each quarter of a calendar year.
What is the income threshold for exemption from the Local Services Tax?,$52 /26 pay periods equal $2 per pay,"The income threshold for exemption from the Local Services Tax is less than $12,000 in earned income and net profits from all sources within the City for the calendar year."
What documentation must an employee provide when filing for a low-income exemption from the LST?,i. Restoration of Withholding . Employers must “rest art” withholding the LST from an employee who files an exemption certificate,"When filing for a low-income exemption, an employee must attach a copy of all last pay stubs or W-2 forms from employment within the City for the year prior to the calendar year for which the exemption is sought."
Which veterans are exempt from paying the Local Services Tax?,"children under twelve (12) years of age, disabled veterans and members of the armed services","Veterans who are blind, paraplegic, double or quadruple amputees, or have a 100% permanent service-connected disability as a result of military service and who were honorably discharged are exempt from the Local Services Tax."
What military personnel are exempt from the Local Services Tax?,members of a reserve component of the armed forces,Members of a reserve component of the armed forces who are called to active duty at any time during the taxable year are exempt from the Local Services Tax.
"What happens if an employee who filed an exemption certificate later exceeds the $12,000 income threshold?",i. Restoration of Withholding . Employers must “rest art” withholding the LST from an employee who files an exemption certificate,"If an employee who filed an exemption certificate later exceeds the $12,000 income threshold, the employer must withhold a ""catch-up"" lump sum equal to the amount of tax that was not withheld, plus the regular withholding for remaining pay periods."
How should an employer handle LST collection if an employee has multiple jobs?,withholding the LST on a payroll period basis for those payroll periods i n which the taxpayer is employed,"If an employee has multiple jobs, they should provide their principal employer with an exemption certificate and provide other employers with a pay stub from their principal employer along with a statement that it is from their principal employment."
What determines which municipality has priority to collect LST when a person is employed in multiple municipalities?,Municipality “A” would be entitled to the LST for the 2nd half of the year.,"The municipality where a person is principally employed has priority to collect the LST. If this cannot be determined, then the municipality where the taxpayer resides and works has priority, followed by the municipality that is nearest in miles to the taxpayer's home."
What information must employers provide with their fourth quarter LST payment?,"he has earned income and/or net profits of less than $12,000.","Employers must provide a summary with the fourth quarter LST payment listing the employer's name, address, Federal ID number, and for each employee: name, Social Security number, wages, address, and amount of LST withheld and paid to Pittsburgh for the calendar year."
What is the penalty for employers who fail to remit the LST by the due date?,"-15- of imprisonment of not more than one year, or both","The penalty for employers who fail to remit the LST by the due date is 5% for every month or fraction thereof that the tax remains unpaid, with a maximum penalty of 50%."
What is the interest rate charged on unpaid LST?,"a. If for any reason the Local Services Tax is not paid when due, interest at the rate of twelve percent (12%) per annum",The interest rate charged on unpaid LST is 12% per annum on the amount of tax unpaid for each month or fraction of a month.
Who is liable if an employer fails to withhold the LST?,an employee who files an exemption certificate in the following circumstances,"If an employer fails to withhold the LST, both the employer and employee remain liable for the tax. The employer is personally liable for payment of the tax they failed to withhold or transmit, plus interest and penalties."
How long must employers keep LST records?,a period of not less than three (3) years,"Employers must keep LST records, including exemption certificates, for a period of not less than three (3) years from the filing date or due date, whichever is later."
What is the time limitation for suits to recover unpaid taxes where a return was filed but no tax paid?,SECTION 503 - LIMITATIONS a. The following periods of limitations shall apply to suits for collection of taxes,"The time limitation for suits to recover unpaid taxes where a return was filed but no tax paid is three (3) years after the return was due or filed, whichever is later."
What is the time limitation for suits in the case of a deficiency assessment?,"1. When no return was filed, there is no limitation. 2.",The time limitation for suits in the case of a deficiency assessment is three (3) years after the assessment has been made.
Is there a time limitation for tax collection suits when no return was filed?,"SUITS FOR COLLECTION, PENALTIES, ETC. Section 501","No, there is no time limitation for tax collection suits when no return was filed."
Is there a time limitation for tax collection suits when a fraudulent return was filed?,"2. 21 3. When there is an understatement of tax liability of twenty -five (25%) or more, and not due to fraud, suit must be begun within six (6) years.","No, there is no time limitation for tax collection suits when a fraudulent return was filed."
What is the time limitation for tax collection suits when there is a tax liability understatement of 25% or more?,SECTION 503 - LIMITATIONS a.,The time limitation for tax collection suits when there is a tax liability understatement of 25% or more (not due to fraud) is six (6) years.
What is the maximum penalty that can be applied for non-payment of the LST?,b. Pursuant to the Local Tax Enabling Act,The maximum penalty that can be applied for non-payment of the LST is 50% of the tax due.
What is the interest rate charged for non-payment of the LST?,"Employe e works 4 months in the City and earns $20,000.",The interest rate charged for non-payment of the LST is 12% per annum on the amount of tax.
Is good faith a valid defense for the imposition of tax penalties?,"A person’s belief that no Tax is due and owing, or the failure of any person to receive or obtain the forms required for making the returns required","No, good faith is not a valid defense for the imposition of tax penalties."
What is the maximum fine for a person adjudged in violation of applicable provisions of the Pittsburgh Code regarding the LST?,505 Limitations on E nforcement,"The maximum fine for a person adjudged in violation of applicable provisions of the Pittsburgh Code regarding the LST is five hundred dollars ($500) and costs for each offense, with possible imprisonment of not more than fifty (50) days for non-payment."
"What is the definition of ""Compensation"" for LST purposes?",Compensation of a Partner or Self -employed person,"""Compensation"" for LST purposes includes any salaries, wages, commissions, tips, bonuses, fees, including net profits from a business for individuals, partnerships, and any other unincorporated taxpayers."
"What is the definition of ""Occupation"" for LST purposes?",Employers must exempt from the LST,"""Occupation"" is defined as any livelihood, job, trade, profession, business, or enterprise of any kind for which compensation is received, and a person may have more than one occupation."
Are partners in unincorporated associations considered employees for LST purposes?,A Partner or Self - employed person is not an Employee,"Yes, for purposes of the LST, sole proprietors and partners in unincorporated associations are deemed to be employees."
What is the filing deadline for the first quarter LST return?,fifteen (15) days after discontinuing business or ceasing operation,The filing deadline for the first quarter LST return is April 30 (covering January 1 through March 31).
What is the filing deadline for the second quarter LST return?,fifteen (15) days after discontinuing business or ceasing operation,The filing deadline for the second quarter LST return is July 31 (covering April 1 through June 30).
What is the filing deadline for the third quarter LST return?,January 1 thru March 31 (due April 30) SECOND QUARTER,The filing deadline for the third quarter LST return is October 31 (covering July 1 through September 30).
What is the filing deadline for the fourth quarter LST return?,January 1 thru March 31 (due April 30) SECOND QUARTER,The filing deadline for the fourth quarter LST return is January 31 (covering October 1 through December 31).
What information must an employer include on an employee's pay stub regarding the LST?,how much was withheld and list the municipality it was paid to,"On an employee's pay stub, the employer must list how much LST was withheld and list the municipality it was paid to (using ""PGH"" for Pittsburgh)."
How should employers handle employees who present receipts showing prior payment of the LST?,withholding the LST from an employee who files an exemption certificate in the following circumstances,Employers should not deduct the LST from employees who present official receipts evidencing prior payment of the tax but must maintain adequate records concerning these employees.
"When must an employer ""restart"" withholding the LST from an employee who filed an exemption certificate?",If instructed to do so by the political subdivision levying the LST,"An employer must ""restart"" withholding the LST if instructed by the City, if notified by the employee that they are no longer eligible for exemption, or if the employer pays the employee $12,000 or more for the calendar year."
"How should an employer ""restart"" withholding the LST if an employee exceeds the $12,000 threshold?",withholding (1) a “catch -up” lump sum equal to the amount of tax that was not withheld from the employee,"To ""restart"" withholding, the employer should withhold a ""catch-up"" lump sum equal to the amount of tax not withheld due to the exemption, plus the same amount per payroll period that is withheld from other employees."
What happens if a self-employed person works in Pittsburgh?,the entire net income of each separate Business is presumed to be a Taxable Dis tribution,"Self-employed persons working in Pittsburgh are subject to the $52 LST, which should be prorated and paid quarterly."
What is the procedure for direct LST payment by taxpayers who are self-employed or didn't have the tax withheld?,The tax should be paid the month following the end of each quarter,"Self-employed taxpayers or those who didn't have the tax withheld should file an LS-3 form and pay the $52 tax directly to the Treasurer, prorated and paid quarterly within 30 days after the end of each quarter."
How long does a taxpayer have to respond to written requests for information from the City?,d. A Taxpayer shall have at least thirty (30) calendar days to respond to audit notices,"A taxpayer has 30 days from the mailing date to respond to written requests for information from the City or its agents, unless an extension of time is granted."
"Is information gained from tax declarations, returns, and investigations confidential?","d. Any information gained by the Treasurer, by designated agents, or by any other official or agent of the City, as a result of any declarations, returns, investigations, hearings or verifications required or auth orized by The Code, shall be confidential except for official purposes, and shall not be released except in accordance with  proper judicial or as otherwise provided by law","Yes, information gained from tax declarations, returns, and investigations is confidential except for official purposes and shall not be released except in accordance with a proper judicial order or as otherwise provided by law."
What happens if an audit reveals that a taxpayer has incorrectly reported their tax liability?,the Treasurer is authorized to assess and collect any underpayments of the Payroll Tax,"If an audit reveals incorrect tax reporting, the Treasurer is authorized to assess and collect any underpayments of the tax, with deficiency assessments including taxes for three years prior to the assessment date."
What is the deficiency assessment period for a taxpayer who filed a return in good faith?,three (3) years prior to the date when the deficiency is assess ed,The deficiency assessment period for a taxpayer who filed a return in good faith is three (3) years prior to the date when the deficiency is assessed.
How do severability provisions impact tax regulations if a court finds a provision to be unconstitutional?, 601. SAVINGS CLAUSE AND SEVERABILITY,"If a court finds a provision of the tax regulations to be unconstitutional, the severability provisions ensure that only the specific unconstitutional provision is invalidated while all other provisions remain in full force and effect."
What is the current rate of the Parking Tax in Pittsburgh?,28 -4- PARKING TAX REGULATIONS,"The current rate of the Parking Tax in Pittsburgh is thirty-seven and one-half (37.5) percent for all transactions occurring on or after January 1, 2009."
What law establishes the ceiling or maximum rate for Pittsburgh's Parking Tax?,Municipal Pension Plan Funding Standard and Recovery Act,"The Municipal Pension Plan Funding Standard and Recovery Act, 53 P.S. § 895.902(a), establishes the ceiling or maximum rate for Pittsburgh's Parking Tax."
"What does the term ""Consideration"" mean in Pittsburgh's Parking Tax regulations?","the payment or compensation of any nature, received by the operator from or on behalf of the patron, upon an express or implied contract or under a lease or otherwise, whether or not separately stated, and whether paid in cash or credited to an account","""Consideration"" means the payment or compensation of any nature received by the operator from or on behalf of the patron, upon an express or implied contract or under a lease or otherwise, whether or not separately stated, for each transaction involving the parking or storing of a vehicle. It does not include the tax imposed and collected under Chapter 253."
"What does the term ""Non-residential Parking Place"" mean in Pittsburgh's Parking Tax regulations?","any place within the City, whether wholly or partially enclosed or open","A ""Non-residential Parking Place"" is any place within the City, whether wholly or partially enclosed or open, at which vehicles are parked or stored for any period of time in return for a consideration."
"What types of parking areas are excluded from the definition of ""Non-residential Parking Place""?","public streets, any parking area or garage to the extent that it is provided or leased to residents on the same or other premises","Excluded from the definition of ""Non-residential Parking Place"" are public streets, parking areas provided to residents for use in connection with occupancy of a dwelling unit, and parking areas operated exclusively by owners or lessees of hotels, apartment hotels, tourist courts, or trailer parks for their guests or tenants with no consideration charged."
"Who is considered an ""Operator"" under Pittsburgh's Parking Tax regulations?",Patron of a non-residential parking place,"An ""Operator"" is any person conducting the operation of a parking place or receiving consideration for parking or storage of vehicles, including governmental bodies, non-profit corporations, or agents of these entities, as well as those leasing land where vehicles are parked and consideration is received."
"Who is considered a ""Patron"" under Pittsburgh's Parking Tax regulations?",Patron of a non-residential parking place,"A ""Patron"" is any person entering into a transaction to park or store a motor vehicle at a non-residential parking place for any period of time for consideration, excluding any transaction involving Exempt Valet Parking Services."
What is the difference between Exempt Valet Parking Services and Taxable Valet Parking Services?,service provided to a patron that do not meet the definition of Exempt Valet Parking Services,"Exempt Valet Parking Services are those where a valet takes temporary custody of vehicles for patrons of a single business establishment, parks them in a facility owned or leased exclusively by that establishment, and charges less than prevailing parking rates. Taxable Valet Parking Services are those that don't meet these exemption criteria."
"What conditions must be met for valet parking services to be considered ""Exempt""?",if the rate charged for this service is not lower than the prevailing parking rate,"For valet parking services to be considered ""Exempt,"" they must: serve patrons of a single business establishment, use a parking facility owned or leased exclusively by that establishment, be open only during the establishment's operating hours exclusively for its patrons, and charge less than the prevailing parking rate for comparable public lots in the area."
